Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
RCB,CSK,CSK,6,wickets,Sharjah,24/09/21,Twenty20
MI,KKR,KKR,7,wickets,Abu Dhabi,23/09/21,Twenty20
DC,SRH,DC,8,wickets,Dubai (DICS),22/09/21,Twenty20
PBKS,RR,RR,2,runs,Dubai (DICS),21/09/21,Twenty20
KKR,RCB,KKR,9,wickets,Abu Dhabi,20/09/21,Twenty20
CSK,MI,CSK,20,runs,Dubai (DICS),19/09/21,Twenty20
PBKS,DC,DC,7,wickets,Ahmedabad,02/05/21,Twenty20
RR,SRH,RR,55,runs,Delhi,02/05/21,Twenty20
MI,CSK,MI,4,wickets,Delhi,01/05/21,Twenty20
PBKS,RCB,PBKS,34,runs,Ahmedabad,30/04/21,Twenty20
DC,KKR,DC,7,wickets,Ahmedabad,29/04/21,Twenty20
MI,RR,MI,7,wickets,Delhi,29/04/21,Twenty20
CSK,SRH,CSK,7,wickets,Delhi,28/04/21,Twenty20
DC,RCB,RCB,1,run,Ahmedabad,27/04/21,Twenty20
PBKS,KKR,KKR,5,wickets,Ahmedabad,26/04/21,Twenty20
SRH,DC,tied,-,,Chennai,25/04/21,Twenty20
CSK,RCB,CSK,69,runs,Wankhede,25/04/21,Twenty20
RR,KKR,RR,6,wickets,Wankhede,24/04/21,Twenty20
PBKS,MI,PBKS,9,wickets,Chennai,23/04/21,Twenty20
RCB,RR,RCB,10,wickets,Wankhede,22/04/21,Twenty20
KKR,CSK,CSK,18,runs,Wankhede,21/04/21,Twenty20
PBKS,SRH,SRH,9,wickets,Chennai,21/04/21,Twenty20
DC,MI,DC,6,wickets,Chennai,20/04/21,Twenty20
CSK,RR,CSK,45,runs,Wankhede,19/04/21,Twenty20
DC,PBKS,DC,6,wickets,Wankhede,18/04/21,Twenty20
RCB,KKR,RCB,38,runs,Chennai,18/04/21,Twenty20
MI,SRH,MI,13,runs,Chennai,17/04/21,Twenty20
PBKS,CSK,CSK,6,wickets,Wankhede,16/04/21,Twenty20
RR,DC,RR,3,wickets,Wankhede,15/04/21,Twenty20
SRH,RCB,RCB,6,runs,Chennai,14/04/21,Twenty20
KKR,MI,MI,10,runs,Chennai,13/04/21,Twenty20
RR,PBKS,PBKS,4,runs,Wankhede,12/04/21,Twenty20
SRH,KKR,KKR,10,runs,Chennai,11/04/21,Twenty20
CSK,DC,DC,7,wickets,Wankhede,10/04/21,Twenty20
MI,RCB,RCB,2,wickets,Chennai,09/04/21,Twenty20
GT,RR,GT,7,wickets,Ahmedabad,29/05/22,Twenty20
RR,RCB,RR,7,wickets,Ahmedabad,27/05/22,Twenty20
LSG,RCB,RCB,14,runs,Eden Gardens,25/05/22,Twenty20
GT,RR,GT,7,wickets,Eden Gardens,24/05/22,Twenty20
SRH,PBKS,PBKS,5,wickets,Wankhede,22/05/22,Twenty20
MI,DC,MI,5,wickets,Wankhede,21/05/22,Twenty20
RR,CSK,RR,5,wickets,Brabourne,20/05/22,Twenty20
RCB,GT,RCB,8,wickets,Wankhede,19/05/22,Twenty20
KKR,LSG,LSG,2,runs,DY Patil,18/05/22,Twenty20
MI,SRH,SRH,3,runs,Wankhede,17/05/22,Twenty20
PBKS,DC,DC,17,runs,DY Patil,16/05/22,Twenty20
LSG,RR,RR,24,runs,Brabourne,15/05/22,Twenty20
CSK,GT,GT,7,wickets,Wankhede,15/05/22,Twenty20
KKR,SRH,KKR,54,runs,Pune,14/05/22,Twenty20
RCB,PBKS,PBKS,54,runs,Brabourne,13/05/22,Twenty20
CSK,MI,MI,5,wickets,Wankhede,12/05/22,Twenty20
RR,DC,DC,8,wickets,DY Patil,11/05/22,Twenty20
LSG,GT,GT,62,runs,Pune,10/05/22,Twenty20
MI,KKR,KKR,52,runs,DY Patil,09/05/22,Twenty20
CSK,DC,CSK,91,runs,DY Patil,08/05/22,Twenty20
SRH,RCB,RCB,67,runs,Wankhede,08/05/22,Twenty20
LSG,KKR,LSG,75,runs,Pune,07/05/22,Twenty20
PBKS,RR,RR,6,wickets,Wankhede,07/05/22,Twenty20
GT,MI,MI,5,runs,Brabourne,06/05/22,Twenty20
DC,SRH,DC,21,runs,Brabourne,05/05/22,Twenty20
RCB,CSK,RCB,13,runs,Pune,04/05/22,Twenty20
GT,PBKS,PBKS,8,wickets,DY Patil,03/05/22,Twenty20
KKR,RR,KKR,7,wickets,Wankhede,02/05/22,Twenty20
SRH,CSK,CSK,13,runs,Pune,01/05/22,Twenty20
DC,LSG,LSG,6,runs,Wankhede,01/05/22,Twenty20
RR,MI,MI,5,wickets,DY Patil,30/04/22,Twenty20
GT,RCB,GT,6,wickets,Brabourne,30/04/22,Twenty20
PBKS,LSG,LSG,20,runs,Pune,29/04/22,Twenty20
DC,KKR,DC,4,wickets,Wankhede,28/04/22,Twenty20
GT,SRH,GT,5,wickets,Wankhede,27/04/22,Twenty20
RCB,RR,RR,29,runs,Pune,26/04/22,Twenty20
PBKS,CSK,PBKS,11,runs,Wankhede,25/04/22,Twenty20
LSG,MI,LSG,36,runs,Wankhede,24/04/22,Twenty20
RCB,SRH,SRH,9,wickets,Brabourne,23/04/22,Twenty20
KKR,GT,GT,8,runs,DY Patil,23/04/22,Twenty20
DC,RR,RR,15,runs,Wankhede,22/04/22,Twenty20
MI,CSK,CSK,3,wickets,DY Patil,21/04/22,Twenty20
DC,PBKS,DC,9,wickets,Brabourne,20/04/22,Twenty20
LSG,RCB,RCB,18,runs,DY Patil,19/04/22,Twenty20
RR,KKR,RR,7,runs,Brabourne,18/04/22,Twenty20
GT,CSK,GT,3,wickets,Pune,17/04/22,Twenty20
PBKS,SRH,SRH,7,wickets,DY Patil,17/04/22,Twenty20
DC,RCB,RCB,16,runs,Wankhede,16/04/22,Twenty20
MI,LSG,LSG,18,runs,Brabourne,16/04/22,Twenty20
SRH,KKR,SRH,7,wickets,Brabourne,15/04/22,Twenty20
RR,GT,GT,37,runs,DY Patil,14/04/22,Twenty20
MI,PBKS,PBKS,12,runs,Pune,13/04/22,Twenty20
CSK,RCB,CSK,23,runs,DY Patil,12/04/22,Twenty20
SRH,GT,SRH,8,wickets,DY Patil,11/04/22,Twenty20
RR,LSG,RR,3,runs,Wankhede,10/04/22,Twenty20
KKR,DC,DC,44,runs,Brabourne,10/04/22,Twenty20
RCB,MI,RCB,7,wickets,Pune,09/04/22,Twenty20
CSK,SRH,SRH,8,wickets,DY Patil,09/04/22,Twenty20
PBKS,GT,GT,6,wickets,Brabourne,08/04/22,Twenty20
LSG,DC,LSG,6,wickets,DY Patil,07/04/22,Twenty20
KKR,MI,KKR,5,wickets,Pune,06/04/22,Twenty20
RR,RCB,RCB,4,wickets,Wankhede,05/04/22,Twenty20
