Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
SRH,PBKS,SRH,8,wickets,Hyderabad,"Apr 12, 2025",Twenty20
LSG,GT,LSG,6,wickets,Lucknow,"Apr 12, 2025",Twenty20
CSK,KKR,KKR,8,wickets,Chennai,"Apr 11, 2025",Twenty20
RCB,DC,DC,6,wickets,Bengaluru,"Apr 10, 2025",Twenty20
GT,RR,GT,58,runs,Ahmedabad,"Apr 9, 2025",Twenty20
PBKS,CSK,PBKS,18,runs,New Chandigarh,"Apr 8, 2025",Twenty20
KKR,LSG,LSG,4,runs,Eden Gardens,"Apr 8, 2025",Twenty20
MI,RCB,RCB,12,runs,Wankhede,"Apr 7, 2025",Twenty20
SRH,GT,GT,7,wickets,Hyderabad,"Apr 6, 2025",Twenty20
PBKS,RR,RR,50,runs,New Chandigarh,"Apr 5, 2025",Twenty20
CSK,DC,DC,25,runs,Chennai,"Apr 5, 2025",Twenty20
LSG,MI,LSG,12,runs,Lucknow,"Apr 4, 2025",Twenty20
KKR,SRH,KKR,80,runs,Eden Gardens,"Apr 3, 2025",Twenty20
RCB,GT,GT,8,wickets,Bengaluru,"Apr 2, 2025",Twenty20
LSG,PBKS,PBKS,8,wickets,Lucknow,"Apr 1, 2025",Twenty20
MI,KKR,MI,8,wickets,Wankhede,"Mar 31, 2025",Twenty20
RR,CSK,RR,6,runs,Guwahati,"Mar 30, 2025",Twenty20
DC,SRH,DC,7,wickets,Visakhapatnam,"Mar 30, 2025",Twenty20
GT,MI,GT,36,runs,Ahmedabad,"Mar 29, 2025",Twenty20
CSK,RCB,RCB,50,runs,Chennai,"Mar 28, 2025",Twenty20
SRH,LSG,LSG,5,wickets,Hyderabad,"Mar 27, 2025",Twenty20
RR,KKR,KKR,8,wickets,Guwahati,"Mar 26, 2025",Twenty20
GT,PBKS,PBKS,11,runs,Ahmedabad,"Mar 25, 2025",Twenty20
DC,LSG,DC,1,wicket,Visakhapatnam,"Mar 24, 2025",Twenty20
CSK,MI,CSK,4,wickets,Chennai,"Mar 23, 2025",Twenty20
SRH,RR,SRH,44,runs,Hyderabad,"Mar 23, 2025",Twenty20
KKR,RCB,RCB,7,wickets,Eden Gardens,"Mar 22, 2025",Twenty20
