Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
SS Iyer, SW Billings,66,out,4th,KKR,LSG,DY Patil,18/05/2022,Twenty20
RM Patidar, V Kohli,66,out,2nd,RCB,LSG,Eden Gardens,25/05/2022,Twenty20
Shubman Gill, HH Pandya,65,out,3rd,GT,DC,Pune,02/04/2022,Twenty20
Lalit Yadav, DA Warner,65,out,3rd,DC,KKR,Wankhede,28/04/2022,Twenty20
KH Pandya, DJ Hooda,65,out,4th,LSG,RR,Brabourne,15/05/2022,Twenty20
KS Williamson, Abhishek Sharma,64,out,1st,SRH,GT,DY Patil,11/04/2022,Twenty20
SA Yadav, NT Tilak Varma,64,out,4th,MI,LSG,Brabourne,16/04/2022,Twenty20
KS Williamson, Abhishek Sharma,64,out,1st,SRH,RCB,Brabourne,23/04/2022,Twenty20
AT Rayudu, RA Jadeja,64,out,5th,CSK,PBKS,Wankhede,25/04/2022,Twenty20
RM Patidar, GJ Maxwell,64,out,4th,RCB,PBKS,Brabourne,13/05/2022,Twenty20
SV Samson, YBK Jaiswal,64,out,2nd,RR,LSG,Brabourne,15/05/2022,Twenty20
AD Russell, SW Billings,63,out,6th,KKR,SRH,Pune,14/05/2022,Twenty20
Shubman Gill, HH Pandya,63,out,3rd,GT,RR,Ahmedabad,29/05/2022,Twenty20
S Dube, MS Dhoni,62,out,6th,CSK,PBKS,Brabourne,03/04/2022,Twenty20
AT Rayudu, MM Ali,62,out,3rd,CSK,SRH,DY Patil,09/04/2022,Twenty20
RK Singh, N Rana,62,out,7th,KKR,DC,Wankhede,28/04/2022,Twenty20
V Kohli, F du Plessis,62,out,1st,RCB,CSK,Pune,04/05/2022,Twenty20
VR Iyer, PJ Cummins,61,not out,6th,KKR,MI,Pune,06/04/2022,Twenty20
Lalit Yadav, RR Pant,61,out,4th,DC,GT,Pune,02/04/2022,Twenty20
HH Pandya, DA Miller,61,out,4th,GT,RCB,Wankhede,19/05/2022,Twenty20
YBK Jaiswal, JC Buttler,61,out,1st,RR,RCB,Ahmedabad,27/05/2022,Twenty20
R Tewatia, DA Miller,60,out,5th,GT,LSG,Wankhede,28/03/2022,Twenty20
AT Rayudu, S Dube,60,out,4th,CSK,LSG,Brabourne,31/03/2022,Twenty20
Shahbaz Ahmed, SS Prabhudessai,60,out,5th,RCB,CSK,DY Patil,12/04/2022,Twenty20
V Kohli, F du Plessis,172,out,1st,RCB,SRH,Hyderabad,18/05/2023,Twenty20
V Kohli, F du Plessis,148,out,1st,RCB,MI,Bengaluru,02/04/2023,Twenty20
Shubman Gill, B Sai Sudharsan,147,out,2nd,GT,SRH,Ahmedabad,15/05/2023,Twenty20
Shubman Gill, WP Saha,142,out,1st,GT,LSG,Ahmedabad,07/05/2023,Twenty20
RD Gaikwad, DP Conway,141,out,1st,CSK,DC,Delhi,20/05/2023,Twenty20
SA Yadav, N Wadhera,140,out,3rd,MI,RCB,Wankhede,09/05/2023,Twenty20
Vivrant Sharma, MA Agarwal,140,out,1st,SRH,MI,Wankhede,21/05/2023,Twenty20
SV Samson, JC Buttler,138,out,2nd,RR,SRH,Jaipur,07/05/2023,Twenty20
Shubman Gill, B Sai Sudharsan,138,out,2nd,GT,MI,Ahmedabad,26/05/2023,Twenty20
V Kohli, F du Plessis,137,out,1st,RCB,PBKS,Mohali,20/04/2023,Twenty20
RG Sharma, C Green,128,out,2nd,MI,SRH,Wankhede,21/05/2023,Twenty20
GJ Maxwell, F du Plessis,127,out,3rd,RCB,RR,Bengaluru,23/04/2023,Twenty20
GJ Maxwell, F du Plessis,126,out,3rd,RCB,CSK,Bengaluru,17/04/2023,Twenty20
Shubman Gill, V Shankar,123,out,2nd,GT,RCB,Bengaluru,21/05/2023,Twenty20
SV Samson, YBK Jaiswal,121,not out,2nd,RR,KKR,Eden Gardens,11/05/2023,Twenty20
GJ Maxwell, F du Plessis,120,out,3rd,RCB,MI,Wankhede,09/05/2023,Twenty20
JM Sharma, LS Livingstone,119,not out,4th,PBKS,MI,Mohali,03/05/2023,Twenty20
SA Yadav, Ishan Kishan,116,out,3rd,MI,PBKS,Mohali,03/05/2023,Twenty20
GJ Maxwell, F du Plessis,115,out,2nd,RCB,LSG,Bengaluru,10/04/2023,Twenty20
PD Salt, MR Marsh,112,out,2nd,DC,SRH,Delhi,29/04/2023,Twenty20
RD Gaikwad, DP Conway,110,out,1st,CSK,LSG,Chennai,03/04/2023,Twenty20
SN Thakur, RK Singh,103,out,6th,KKR,RCB,Eden Gardens,06/04/2023,Twenty20
RA Tripathi, AK Markram,100,not out,3rd,SRH,PBKS,Hyderabad,09/04/2023,Twenty20
N Rana, VR Iyer,100,out,3rd,KKR,GT,Ahmedabad,09/04/2023,Twenty20
RK Singh, N Rana,99,out,4th,KKR,CSK,Chennai,14/05/2023,Twenty20
YBK Jaiswal, JC Buttler,98,out,1st,RR,DC,Guwahati,08/04/2023,Twenty20
D Padikkal, YBK Jaiswal,98,out,2nd,RR,RCB,Bengaluru,23/04/2023,Twenty20
V Kohli, F du Plessis,96,out,1st,RCB,LSG,Bengaluru,10/04/2023,Twenty20
DA Warner, PP Shaw,94,out,1st,DC,PBKS,Dharamsala,17/05/2023,Twenty20
Harpreet Singh, SM Curran,92,out,5th,PBKS,MI,Wankhede,22/04/2023,Twenty20
Prabhsimran Singh, S Dhawan,90,out,1st,PBKS,RR,Guwahati,05/04/2023,Twenty20
RG Sharma, Ishan Kishan,90,out,1st,MI,LSG,Lucknow,16/05/2023,Twenty20
MP Stoinis, A Badoni,89,out,3rd,LSG,PBKS,Mohali,28/04/2023,Twenty20
Rashid Khan, AS Joseph,88,not out,9th,GT,MI,Wankhede,12/05/2023,Twenty20
KR Mayers, Q de Kock,88,out,1st,LSG,GT,Ahmedabad,07/05/2023,Twenty20
V Shankar, DA Miller,87,not out,4th,GT,KKR,Eden Gardens,29/04/2023,Twenty20
YBK Jaiswal, JC Buttler,87,out,1st,RR,LSG,Jaipur,19/04/2023,Twenty20
RD Gaikwad, DP Conway,87,out,1st,CSK,SRH,Chennai,21/04/2023,Twenty20
RD Gaikwad, DP Conway,87,out,1st,CSK,GT,Chennai,23/05/2023,Twenty20
PBB Rajapaksa, S Dhawan,86,out,2nd,PBKS,KKR,Mohali,01/04/2023,Twenty20
YBK Jaiswal, JC Buttler,86,out,1st,RR,CSK,Jaipur,27/04/2023,Twenty20
RD Gaikwad, DP Conway,86,out,1st,CSK,PBKS,Chennai,30/04/2023,Twenty20
YBK Jaiswal, JC Buttler,85,out,1st,RR,SRH,Hyderabad,02/04/2023,Twenty20
AM Rahane, S Dube,85,out,3rd,CSK,KKR,Eden Gardens,23/04/2023,Twenty20
N Pooran, A Badoni,84,out,6th,LSG,RCB,Bengaluru,10/04/2023,Twenty20
JJ Roy, N Jagadeesan,83,out,1st,KKR,RCB,Bengaluru,26/04/2023,Twenty20
MP Stoinis, KH Pandya,82,not out,4th,LSG,MI,Lucknow,16/05/2023,Twenty20
AM Rahane, RD Gaikwad,82,out,2nd,CSK,MI,Wankhede,08/04/2023,Twenty20
KL Rahul, KR Mayers,82,out,1st,LSG,RR,Jaipur,19/04/2023,Twenty20
V Kohli, F du Plessis,82,out,1st,RCB,DC,Delhi,06/05/2023,Twenty20
B Sai Sudharsan, HH Pandya,81,out,3rd,GT,CSK,Ahmedabad,28/05/2023,Twenty20
S Dube, DP Conway,80,out,3rd,CSK,RCB,Bengaluru,17/04/2023,Twenty20
N Rana, VR Iyer,80,out,3rd,KKR,RCB,Bengaluru,26/04/2023,Twenty20
KR Mayers, DJ Hooda,79,out,2nd,LSG,DC,Lucknow,01/04/2023,Twenty20
KL Rahul, KR Mayers,79,out,1st,LSG,CSK,Chennai,03/04/2023,Twenty20
A Taide, Sikandar Raza,78,out,3rd,PBKS,LSG,Mohali,28/04/2023,Twenty20
A Taide, LS Livingstone,78,out,3rd,PBKS,DC,Dharamsala,17/05/2023,Twenty20
D Padikkal, JC Buttler,77,out,2nd,RR,CSK,Chennai,12/04/2023,Twenty20
MP Stoinis, KL Rahul,76,out,4th,LSG,RCB,Bengaluru,10/04/2023,Twenty20
RG Sharma, C Green,76,out,2nd,MI,PBKS,Wankhede,22/04/2023,Twenty20
MP Stoinis, N Pooran,76,out,4th,LSG,PBKS,Mohali,28/04/2023,Twenty20
AK Markram, H Klaasen,76,out,3rd,SRH,RCB,Hyderabad,18/05/2023,Twenty20
SA Yadav, C Green,75,out,3rd,MI,PBKS,Wankhede,22/04/2023,Twenty20
AM Rahane, DP Conway,74,out,2nd,CSK,RCB,Bengaluru,17/04/2023,Twenty20
H Klaasen, HC Brook,74,out,4th,SRH,RCB,Hyderabad,18/05/2023,Twenty20
N Pooran, A Badoni,74,out,6th,LSG,KKR,Eden Gardens,20/05/2023,Twenty20
RD Gaikwad, DP Conway,74,out,1st,CSK,GT,Ahmedabad,28/05/2023,Twenty20
M Shahrukh Khan, SM Curran,73,not out,6th,PBKS,RR,Dharamsala,19/05/2023,Twenty20
RD Gaikwad, DP Conway,73,out,1st,CSK,KKR,Eden Gardens,23/04/2023,Twenty20
MP Stoinis, PN Mankad,73,out,3rd,LSG,SRH,Hyderabad,13/05/2023,Twenty20
D Padikkal, YBK Jaiswal,73,out,2nd,RR,PBKS,Dharamsala,19/05/2023,Twenty20
HC Brook, Abhishek Sharma,72,out,4th,SRH,KKR,Eden Gardens,14/04/2023,Twenty20
AK Markram, HC Brook,72,out,3rd,SRH,KKR,Eden Gardens,14/04/2023,Twenty20
YBK Jaiswal, JC Buttler,72,out,1st,RR,MI,Wankhede,30/04/2023,Twenty20
Prabhsimran Singh, SM Curran,72,out,4th,PBKS,DC,Delhi,13/05/2023,Twenty20
RG Sharma, Ishan Kishan,71,out,1st,MI,DC,Delhi,11/04/2023,Twenty20
DA Miller, A Manohar,71,out,5th,GT,MI,Ahmedabad,25/04/2023,Twenty20
Shubman Gill, WP Saha,71,out,1st,GT,RR,Jaipur,05/05/2023,Twenty20
AK Markram, H Klaasen,70,out,5th,SRH,KKR,Hyderabad,04/05/2023,Twenty20
RK Singh, N Rana,69,out,6th,KKR,SRH,Eden Gardens,14/04/2023,Twenty20
AR Patel, MK Pandey,69,out,6th,DC,SRH,Hyderabad,24/04/2023,Twenty20
DA Warner, PD Salt,69,out,1st,DC,PBKS,Delhi,13/05/2023,Twenty20
GJ Maxwell, F du Plessis,69,out,2nd,RCB,RR,Jaipur,14/05/2023,Twenty20
NT Tilak Varma, RG Sharma,68,out,2nd,MI,DC,Delhi,11/04/2023,Twenty20
AM Rahane, DP Conway,68,out,2nd,CSK,RR,Chennai,12/04/2023,Twenty20
WP Saha, HH Pandya,68,out,2nd,GT,LSG,Lucknow,22/04/2023,Twenty20
RA Jadeja, S Dube,68,out,6th,CSK,KKR,Chennai,14/05/2023,Twenty20
B Kumar, H Klaasen,68,out,8th,SRH,GT,Ahmedabad,15/05/2023,Twenty20
Shubman Gill, B Sai Sudharsan,67,out,2nd,GT,KKR,Ahmedabad,09/04/2023,Twenty20
DA Warner, AR Patel,67,out,6th,DC,MI,Delhi,11/04/2023,Twenty20
V Kohli, F du Plessis,67,out,1st,RCB,GT,Bengaluru,21/05/2023,Twenty20
Shubman Gill, WP Saha,67,out,1st,GT,CSK,Ahmedabad,28/05/2023,Twenty20
JM Sharma, S Dhawan,66,out,2nd,PBKS,RR,Guwahati,05/04/2023,Twenty20
SA Yadav, C Green,66,out,3rd,MI,LSG,Chennai,24/05/2023,Twenty20
PD Salt, RR Rossouw,65,not out,3rd,DC,PBKS,Dharamsala,17/05/2023,Twenty20
RG Sharma, Ishan Kishan,65,out,1st,MI,KKR,Wankhede,16/04/2023,Twenty20
RK Singh, JJ Roy,65,out,5th,KKR,CSK,Eden Gardens,23/04/2023,Twenty20
RA Tripathi, Abhishek Sharma,65,out,2nd,SRH,RR,Jaipur,07/05/2023,Twenty20
SA Yadav, Vishnu Vinod,65,out,4th,MI,GT,Wankhede,12/05/2023,Twenty20
V Kohli, Anuj Rawat,64,not out,6th,RCB,GT,Bengaluru,21/05/2023,Twenty20
Shubman Gill, B Sai Sudharsan,210,out,1st,GT,CSK,Ahmedabad,10/05/2024,Twenty20
TM Head, Abhishek Sharma,167,not out,1st,SRH,LSG,Hyderabad,08/05/2024,Twenty20
V Kohli, WG Jacks,166,not out,2nd,RCB,GT,Ahmedabad,28/04/2024,Twenty20
SV Samson, JC Buttler,148,out,2nd,RR,RCB,Jaipur,06/04/2024,Twenty20
SA Yadav, NT Tilak Varma,143,not out,4th,MI,SRH,Wankhede,06/05/2024,Twenty20
PD Salt, SP Narine,138,out,1st,KKR,PBKS,Eden Gardens,26/04/2024,Twenty20
KL Rahul, Q de Kock,134,out,1st,LSG,CSK,Lucknow,19/04/2024,Twenty20
R Parag, YBK Jaiswal,134,out,3rd,RR,SRH,Hyderabad,02/05/2024,Twenty20
TM Head, Abhishek Sharma,131,out,1st,SRH,DC,Delhi,20/04/2024,Twenty20
SV Samson, R Parag,130,out,3rd,RR,GT,Jaipur,10/04/2024,Twenty20
V Kohli, F du Plessis,125,out,1st,RCB,RR,Jaipur,06/04/2024,Twenty20
SV Samson, DC Jurel,121,not out,4th,RR,LSG,Lucknow,27/04/2024,Twenty20
PD Salt, SS Iyer,120,not out,3rd,KKR,LSG,Eden Gardens,14/04/2024,Twenty20
AK Markram, H Klaasen,116,not out,4th,SRH,MI,Hyderabad,27/03/2024,Twenty20
KL Rahul, DJ Hooda,115,out,3rd,LSG,RR,Lucknow,27/04/2024,Twenty20
J Fraser-McGurk, Abishek Porel,114,out,1st,DC,MI,Delhi,27/04/2024,Twenty20
AR Patel, RR Pant,113,out,4th,DC,GT,Delhi,24/04/2024,Twenty20
SV Samson, YBK Jaiswal,109,not out,2nd,RR,MI,Jaipur,22/04/2024,Twenty20
DJ Mitchell, MM Ali,109,out,4th,CSK,GT,Ahmedabad,10/05/2024,Twenty20
KL Rahul, N Pooran,109,out,4th,LSG,MI,Wankhede,17/05/2024,Twenty20
TM Head, Abhishek Sharma,108,out,1st,SRH,RCB,Bengaluru,15/04/2024,Twenty20
DJ Mitchell, RD Gaikwad,107,out,2nd,CSK,SRH,Chennai,28/04/2024,Twenty20
A Raghuvanshi, SP Narine,104,out,2nd,KKR,DC,Visakhapatnam,03/04/2024,Twenty20
RD Gaikwad, S Dube,104,out,4th,CSK,LSG,Chennai,23/04/2024,Twenty20
S Dhawan, JM Bairstow,102,out,1st,PBKS,LSG,Lucknow,30/03/2024,Twenty20
RM Patidar, WG Jacks,102,out,3rd,RCB,KKR,Eden Gardens,21/04/2024,Twenty20
RG Sharma, Ishan Kishan,101,out,1st,MI,RCB,Wankhede,11/04/2024,Twenty20
N Pooran, A Badoni,99,not out,5th,LSG,SRH,Hyderabad,08/05/2024,Twenty20
N Wadhera, NT Tilak Varma,99,out,5th,MI,RR,Jaipur,22/04/2024,Twenty20
VR Iyer, SS Iyer,97,not out,3rd,KKR,SRH,Ahmedabad,21/05/2024,Twenty20
A Taide, Prabhsimran Singh,97,out,1st,PBKS,SRH,Hyderabad,19/05/2024,Twenty20
K Nitish Kumar Reddy, TM Head,96,out,3rd,SRH,RR,Hyderabad,02/05/2024,Twenty20
KD Karthik, Anuj Rawat,95,out,6th,RCB,CSK,Chennai,22/03/2024,Twenty20
SV Samson, R Parag,93,out,3rd,RR,LSG,Jaipur,24/03/2024,Twenty20
DA Warner, PP Shaw,93,out,1st,DC,CSK,Visakhapatnam,31/03/2024,Twenty20
T Stubbs, RR Pant,93,out,5th,DC,KKR,Visakhapatnam,03/04/2024,Twenty20
Prabhsimran Singh, JM Bairstow,93,out,1st,PBKS,KKR,Eden Gardens,26/04/2024,Twenty20
V Kohli, F du Plessis,92,out,1st,RCB,GT,Bengaluru,04/05/2024,Twenty20
V Kohli, C Green,92,out,4th,RCB,PBKS,Dharamsala,09/05/2024,Twenty20
SD Hope, Abishek Porel,92,out,2nd,DC,LSG,Delhi,14/05/2024,Twenty20
Rahmanullah Gurbaz, VR Iyer,91,out,2nd,KKR,SRH,Chennai,26/05/2024,Twenty20
RD Gaikwad, S Dube,90,out,3rd,CSK,MI,Wankhede,14/04/2024,Twenty20
PP Shaw, Abishek Porel,88,out,2nd,DC,MI,Wankhede,07/04/2024,Twenty20
RM Patidar, WG Jacks,88,out,3rd,RCB,DC,Bengaluru,12/05/2024,Twenty20
RG Sharma, D Brevis,88,out,1st,MI,LSG,Wankhede,17/05/2024,Twenty20
PD Salt, SP Narine,86,out,1st,KKR,RCB,Bengaluru,29/03/2024,Twenty20
M Shahrukh Khan, B Sai Sudharsan,86,out,3rd,GT,RCB,Ahmedabad,28/04/2024,Twenty20
KL Rahul, N Pooran,85,out,5th,LSG,RR,Jaipur,24/03/2024,Twenty20
A Raghuvanshi, SP Narine,85,out,2nd,KKR,RR,Eden Gardens,16/04/2024,Twenty20
RR Rossouw, JM Bairstow,85,out,2nd,PBKS,KKR,Eden Gardens,26/04/2024,Twenty20
Shashank Singh, JM Bairstow,84,not out,3rd,PBKS,KKR,Eden Gardens,26/04/2024,Twenty20
NT Tilak Varma, Naman Dhir,84,out,3rd,MI,SRH,Hyderabad,27/03/2024,Twenty20
J Fraser-McGurk, Abishek Porel,84,out,3rd,DC,SRH,Delhi,20/04/2024,Twenty20
MK Pandey, VR Iyer,83,out,6th,KKR,MI,Wankhede,03/05/2024,Twenty20
RM Patidar, F du Plessis,82,out,3rd,RCB,MI,Wankhede,11/04/2024,Twenty20
B Sai Sudharsan, WP Saha,82,out,2nd,GT,DC,Delhi,24/04/2024,Twenty20
RK Singh, AD Russell,81,out,7th,KKR,SRH,Eden Gardens,23/03/2024,Twenty20
SA Yadav, RG Sharma,81,out,2nd,MI,PBKS,Mullanpur,18/04/2024,Twenty20
RG Sharma, Ishan Kishan,80,out,1st,MI,DC,Wankhede,07/04/2024,Twenty20
V Kohli, F du Plessis,80,out,1st,RCB,SRH,Bengaluru,15/04/2024,Twenty20
PD Salt, SP Narine,79,out,1st,KKR,DC,Eden Gardens,29/04/2024,Twenty20
A Raghuvanshi, SP Narine,79,out,2nd,KKR,LSG,Lucknow,05/05/2024,Twenty20
V Kohli, F du Plessis,78,out,1st,RCB,CSK,Bengaluru,18/05/2024,Twenty20
RG Sharma, D Brevis,77,out,3rd,MI,GT,Ahmedabad,24/03/2024,Twenty20
RR Pant, J Fraser-McGurk,77,out,3rd,DC,LSG,Lucknow,12/04/2024,Twenty20
RM Patidar, V Kohli,76,out,3rd,RCB,PBKS,Dharamsala,09/05/2024,Twenty20
VR Iyer, SS Iyer,75,out,3rd,KKR,RCB,Bengaluru,29/03/2024,Twenty20
YBK Jaiswal, JC Buttler,74,out,1st,RR,MI,Jaipur,22/04/2024,Twenty20
RD Gaikwad, S Dube,74,out,3rd,CSK,SRH,Chennai,28/04/2024,Twenty20
A Badoni, Arshad Khan,73,not out,8th,LSG,DC,Lucknow,12/04/2024,Twenty20
MP Stoinis, KL Rahul,73,out,3rd,LSG,GT,Lucknow,07/04/2024,Twenty20
RA Tripathi, Abhishek Sharma,72,out,2nd,SRH,PBKS,Hyderabad,19/05/2024,Twenty20
NT Tilak Varma, HH Pandya,71,out,4th,MI,DC,Delhi,27/04/2024,Twenty20
RM Patidar, C Green,71,out,3rd,RCB,CSK,Bengaluru,18/05/2024,Twenty20
K Nitish Kumar Reddy, H Klaasen,70,not out,4th,SRH,RR,Hyderabad,02/05/2024,Twenty20
DJ Mitchell, RD Gaikwad,70,out,2nd,CSK,KKR,Chennai,08/04/2024,Twenty20
RG Sharma, Ishan Kishan,70,out,1st,MI,CSK,Wankhede,14/04/2024,Twenty20
MP Stoinis, N Pooran,70,out,4th,LSG,CSK,Chennai,23/04/2024,Twenty20
NT Tilak Varma, TH David,70,out,6th,MI,DC,Delhi,27/04/2024,Twenty20
B Sai Sudharsan, DA Miller,69,not out,4th,GT,RCB,Ahmedabad,28/04/2024,Twenty20
TM Head, Abhishek Sharma,68,out,2nd,SRH,MI,Hyderabad,27/03/2024,Twenty20
AM Rahane, DJ Mitchell,68,out,3rd,CSK,DC,Visakhapatnam,31/03/2024,Twenty20
Naman Dhir, Ishan Kishan,68,out,6th,MI,LSG,Wankhede,17/05/2024,Twenty20
T Stubbs, RR Pant,67,not out,5th,DC,GT,Delhi,24/04/2024,Twenty20
LS Livingstone, SM Curran,67,out,5th,PBKS,DC,Mullanpur,23/03/2024,Twenty20
DA Warner, RR Pant,67,out,3rd,DC,RR,Jaipur,28/03/2024,Twenty20
Shahbaz Ahmed, K Nitish Kumar Reddy,67,out,5th,SRH,DC,Delhi,20/04/2024,Twenty20
RA Jadeja, S Dube,66,not out,5th,CSK,RCB,Chennai,22/03/2024,Twenty20
Shashank Singh, AR Sharma,66,not out,7th,PBKS,SRH,Mullanpur,09/04/2024,Twenty20
AK Markram, H Klaasen,66,out,3rd,SRH,RCB,Bengaluru,15/04/2024,Twenty20
R Ravindra, AM Rahane,66,out,3rd,CSK,RCB,Bengaluru,18/05/2024,Twenty20
V Kohli, C Green,65,out,2nd,RCB,KKR,Bengaluru,29/03/2024,Twenty20
AM Rahane, S Dube,65,out,3rd,CSK,SRH,Hyderabad,05/04/2024,Twenty20
RM Patidar, V Kohli,65,out,3rd,RCB,SRH,Hyderabad,25/04/2024,Twenty20
RR Rossouw, JM Bairstow,65,out,2nd,PBKS,RCB,Dharamsala,09/05/2024,Twenty20
RG Sharma, Ishan Kishan,65,out,1st,MI,KKR,Eden Gardens,11/05/2024,Twenty20
B Sai Sudharsan, DA Miller,64,out,3rd,GT,SRH,Ahmedabad,31/03/2024,Twenty20
Shubman Gill, B Sai Sudharsan,64,out,1st,GT,RR,Jaipur,10/04/2024,Twenty20
RR Rossouw, JM Bairstow,64,out,2nd,PBKS,CSK,Chennai,01/05/2024,Twenty20
AM Rahane, RD Gaikwad,64,out,1st,CSK,PBKS,Chennai,01/05/2024,Twenty20
TM Head, Abhishek Sharma,171,out,1st,SRH,PBKS,Hyderabad,12/04/2025,Twenty20
V Suryavanshi, YBK Jaiswal,166,out,1st,RR,GT,Jaipur,28/04/2025,Twenty20
Prabhsimran Singh, P Arya,122,out,1st,PBKS,DC,Dharamsala,08/05/2025,Twenty20
Shubman Gill, B Sai Sudharsan,120,out,1st,GT,LSG,Lucknow,12/04/2025,Twenty20
Prabhsimran Singh, P Arya,120,out,1st,PBKS,KKR,Eden Gardens,26/04/2025,Twenty20
KK Nair, Abishek Porel,119,out,2nd,DC,MI,Delhi,13/04/2025,Twenty20
SE Rutherford, JC Buttler,119,out,3rd,GT,DC,Ahmedabad,19/04/2025,Twenty20
KH Pandya, V Kohli,119,out,4th,RCB,DC,Delhi,27/04/2025,Twenty20
N Pooran, MR Marsh,116,out,2nd,LSG,SRH,Hyderabad,27/03/2025,Twenty20
RG Sharma, RD Rickelton,116,out,1st,MI,RR,Jaipur,01/05/2025,Twenty20
SA Yadav, RG Sharma,114,not out,2nd,MI,CSK,Wankhede,20/04/2025,Twenty20
Shubman Gill, B Sai Sudharsan,114,out,1st,GT,KKR,Eden Gardens,21/04/2025,Twenty20
A Mhatre, RA Jadeja,114,out,3rd,CSK,RCB,Bengaluru,03/05/2025,Twenty20
T Stubbs, KL Rahul,111,not out,5th,DC,RCB,Bengaluru,10/04/2025,Twenty20
SV Samson, DC Jurel,111,out,4th,RR,SRH,Hyderabad,23/03/2025,Twenty20
AM Rahane, SP Narine,103,out,2nd,KKR,RCB,Eden Gardens,22/03/2025,Twenty20
D Padikkal, V Kohli,103,out,2nd,RCB,PBKS,Mullanpur,20/04/2025,Twenty20
MR Marsh, AK Markram,99,out,1st,LSG,KKR,Eden Gardens,08/04/2025,Twenty20
A Manohar, H Klaasen,99,out,6th,SRH,MI,Hyderabad,23/04/2025,Twenty20
V Kohli, JG Bethell,97,out,1st,RCB,CSK,Bengaluru,03/05/2025,Twenty20
PD Salt, V Kohli,95,out,1st,RCB,KKR,Eden Gardens,22/03/2025,Twenty20
D Padikkal, V Kohli,95,out,2nd,RCB,RR,Bengaluru,24/04/2025,Twenty20
SA Yadav, HH Pandya,94,not out,3rd,MI,RR,Jaipur,01/05/2025,Twenty20
Shubman Gill, B Sai Sudharsan,93,out,1st,GT,RR,Jaipur,28/04/2025,Twenty20
PD Salt, V Kohli,92,out,1st,RCB,RR,Jaipur,13/04/2025,Twenty20
R Parag, SO Hetmyer,92,out,6th,RR,KKR,Eden Gardens,04/05/2025,Twenty20
RK Singh, VR Iyer,91,out,5th,KKR,SRH,Eden Gardens,03/04/2025,Twenty20
D Padikkal, V Kohli,91,out,2nd,RCB,MI,Wankhede,07/04/2025,Twenty20
Washington Sundar, Shubman Gill,90,out,3rd,GT,SRH,Hyderabad,06/04/2025,Twenty20
SV Samson, YBK Jaiswal,89,out,1st,RR,PBKS,Mullanpur,05/04/2025,Twenty20
NT Tilak Varma, HH Pandya,89,out,5th,MI,RCB,Wankhede,07/04/2025,Twenty20
S Dube, DP Conway,89,out,3rd,CSK,PBKS,Mullanpur,08/04/2025,Twenty20
N Wadhera, GJ Maxwell,88,out,5th,PBKS,RR,Mullanpur,05/04/2025,Twenty20
N Pooran, MR Marsh,87,out,2nd,LSG,DC,Visakhapatnam,24/03/2025,Twenty20
MR Marsh, AK Markram,87,out,1st,LSG,DC,Lucknow,22/04/2025,Twenty20
Shubman Gill, B Sai Sudharsan,87,out,1st,GT,SRH,Ahmedabad,02/05/2025,Twenty20
Ishan Kishan, TM Head,85,out,2nd,SRH,RR,Hyderabad,23/03/2025,Twenty20
V Suryavanshi, YBK Jaiswal,85,out,1st,RR,LSG,Jaipur,19/04/2025,Twenty20
V Shankar, MS Dhoni,84,not out,6th,CSK,DC,Chennai,05/04/2025,Twenty20
B Sai Sudharsan, JC Buttler,84,out,2nd,GT,PBKS,Ahmedabad,25/03/2025,Twenty20
Prabhsimran Singh, SS Iyer,84,out,2nd,PBKS,LSG,Lucknow,01/04/2025,Twenty20
A Raghuvanshi, Q de Kock,83,not out,3rd,KKR,RR,Guwahati,26/03/2025,Twenty20
D Padikkal, V Kohli,83,not out,2nd,RCB,RR,Jaipur,13/04/2025,Twenty20
SV Samson, N Rana,82,out,2nd,RR,CSK,Guwahati,30/03/2025,Twenty20
Shashank Singh, SS Iyer,81,not out,6th,PBKS,GT,Ahmedabad,25/03/2025,Twenty20
J Fraser-McGurk, F du Plessis,81,out,1st,DC,SRH,Visakhapatnam,30/03/2025,Twenty20
AM Rahane, A Raghuvanshi,81,out,3rd,KKR,SRH,Eden Gardens,03/04/2025,Twenty20
A Badoni, Abdul Samad,81,out,6th,LSG,PBKS,Dharamsala,04/05/2025,Twenty20
SO Hetmyer, SB Dubey,80,out,6th,RR,SRH,Hyderabad,23/03/2025,Twenty20
B Sai Sudharsan, JC Buttler,80,out,2nd,GT,RR,Ahmedabad,09/04/2025,Twenty20
RA Jadeja, S Dube,79,out,4th,CSK,MI,Wankhede,20/04/2025,Twenty20
Shubman Gill, B Sai Sudharsan,78,out,1st,GT,MI,Ahmedabad,29/03/2025,Twenty20
SM Curran, D Brevis,78,out,4th,CSK,PBKS,Chennai,30/04/2025,Twenty20
Prabhsimran Singh, SS Iyer,78,out,3rd,PBKS,LSG,Dharamsala,04/05/2025,Twenty20
AU Verma, H Klaasen,77,out,5th,SRH,DC,Visakhapatnam,30/03/2025,Twenty20
MR Marsh, AK Markram,76,out,1st,LSG,MI,Lucknow,04/04/2025,Twenty20
AK Markram, A Badoni,76,out,4th,LSG,RR,Jaipur,19/04/2025,Twenty20
AR Patel, F du Plessis,76,out,4th,DC,KKR,Delhi,29/04/2025,Twenty20
B Sai Sudharsan, JC Buttler,75,out,2nd,GT,RCB,Bengaluru,02/04/2025,Twenty20
