Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
N Pooran, GJ Maxwell,69,out,4th,PBKS,DC,Dubai (DICS),20/10/2020,Twenty20
PP Shaw, S Dhawan,68,out,1st,DC,RCB,Dubai (DICS),05/10/2020,Twenty20
SS Iyer, S Dhawan,68,out,3rd,DC,CSK,Sharjah,17/10/2020,Twenty20
AT Rayudu, RD Gaikwad,68,out,2nd,CSK,KKR,Dubai (DICS),29/10/2020,Twenty20
Ishan Kishan, Q de Kock,68,out,1st,MI,DC,Dubai (DICS),31/10/2020,Twenty20
KA Pollard, HH Pandya,67,not out,5th,MI,PBKS,Abu Dhabi,01/10/2020,Twenty20
D Padikkal, AJ Finch,67,out,1st,RCB,KKR,Sharjah,12/10/2020,Twenty20
AT Rayudu, RD Gaikwad,67,out,2nd,CSK,RCB,Dubai (DICS),25/10/2020,Twenty20
KS Williamson, JO Holder,65,not out,5th,SRH,RCB,Abu Dhabi,06/11/2020,Twenty20
F du Plessis, MS Dhoni,65,out,6th,CSK,RR,Sharjah,22/09/2020,Twenty20
Shubman Gill, N Rana,64,out,2nd,KKR,DC,Sharjah,03/10/2020,Twenty20
AT Rayudu, N Jagadeesan,64,out,3rd,CSK,RCB,Dubai (DICS),10/10/2020,Twenty20
SS Tiwary, HH Pandya,64,out,5th,MI,RR,Abu Dhabi,25/10/2020,Twenty20
RR Pant, SS Iyer,63,out,3rd,DC,KKR,Abu Dhabi,24/10/2020,Twenty20
WP Saha, MK Pandey,63,out,2nd,SRH,DC,Dubai (DICS),27/10/2020,Twenty20
WP Saha, MK Pandey,62,out,3rd,SRH,KKR,Abu Dhabi,26/09/2020,Twenty20
D Padikkal, AB de Villiers,62,out,3rd,RCB,MI,Dubai (DICS),28/09/2020,Twenty20
RG Sharma, Ishan Kishan,62,out,3rd,MI,PBKS,Abu Dhabi,01/10/2020,Twenty20
SA Yadav, Q de Kock,62,out,2nd,MI,DC,Dubai (DICS),05/11/2020,Twenty20
R Tewatia, SV Samson,61,out,3rd,RR,PBKS,Sharjah,27/09/2020,Twenty20
KL Rahul, MA Agarwal,61,out,1st,PBKS,CSK,Dubai (DICS),04/10/2020,Twenty20
HH Pandya, Ishan Kishan,60,not out,6th,MI,DC,Dubai (DICS),05/11/2020,Twenty20
DA Warner, MK Pandey,60,out,2nd,SRH,MI,Sharjah,04/10/2020,Twenty20
RV Uthappa, BA Stokes,60,out,1st,RR,PBKS,Abu Dhabi,30/10/2020,Twenty20
RR Pant, SS Iyer,58,out,3rd,DC,CSK,Dubai (DICS),25/09/2020,Twenty20
KL Rahul, N Pooran,58,out,3rd,PBKS,CSK,Dubai (DICS),04/10/2020,Twenty20
SPD Smith, JC Buttler,58,out,4th,RR,RCB,Dubai (DICS),17/10/2020,Twenty20
EJG Morgan, KD Karthik,58,out,5th,KKR,SRH,Abu Dhabi,18/10/2020,Twenty20
KS Williamson, JM Bairstow,58,out,1st,SRH,KKR,Abu Dhabi,18/10/2020,Twenty20
KH Pandya, Q de Kock,58,out,4th,MI,PBKS,Dubai (DICS),18/10/2020,Twenty20
KA Pollard, NM Coulter-Nile,57,not out,7th,MI,PBKS,Dubai (DICS),18/10/2020,Twenty20
KL Rahul, N Pooran,57,out,2nd,PBKS,RCB,Dubai (DICS),24/09/2020,Twenty20
KL Rahul, MA Agarwal,57,out,1st,PBKS,RCB,Dubai (DICS),24/09/2020,Twenty20
D Padikkal, V Kohli,57,out,2nd,RCB,DC,Abu Dhabi,02/11/2020,Twenty20
KS Williamson, Abdul Samad,57,out,5th,SRH,DC,Abu Dhabi,08/11/2020,Twenty20
CJ Jordan, MA Agarwal,56,out,7th,PBKS,DC,Dubai (DICS),20/09/2020,Twenty20
SR Watson, M Vijay,56,out,1st,CSK,RR,Sharjah,22/09/2020,Twenty20
PP Shaw, S Dhawan,56,out,1st,DC,KKR,Sharjah,03/10/2020,Twenty20
D Padikkal, V Kohli,181,not out,1st,RCB,RR,Wankhede,22/04/2021,Twenty20
SV Samson, JC Buttler,150,out,2nd,RR,SRH,Delhi,02/05/2021,Twenty20
