Player,Team,Year,Mat,Inns,Ct,Max,Ct/Inn
SA Yadav ,MI,2025,12,12,4,2,0.333
XC Bartlett ,PBKS,2025,3,3,3,2,1
SM Curran ,CSK,2025,5,5,3,1,0.6
RD Gaikwad ,CSK,2025,5,5,3,1,0.6
A Mhatre ,CSK,2025,5,5,3,1,0.6
KV Sharma ,MI,2025,5,5,3,1,0.6
F du Plessis ,DC,2025,7,6,3,2,0.5
J Fraser-McGurk ,DC,2025,6,6,3,2,0.5
DJ Hooda ,CSK,2025,6,6,3,2,0.5
LS Livingstone ,RCB,2025,7,7,3,2,0.428
SN Thakur ,LSG,2025,9,9,3,1,0.333
Ishan Kishan ,SRH,2025,11,10,3,1,0.3
K Nitish Kumar Reddy ,SRH,2025,10,10,3,1,0.3
A Badoni ,LSG,2025,11,11,3,1,0.272
TM Head ,SRH,2025,11,11,3,2,0.272
SS Iyer ,PBKS,2025,12,11,3,1,0.272
V Kohli ,RCB,2025,11,11,3,1,0.272
Mohammed Siraj ,GT,2025,11,11,3,1,0.272
SP Narine ,KKR,2025,11,11,3,1,0.272
KH Pandya ,RCB,2025,11,11,3,1,0.272
MP Yadav ,LSG,2025,2,2,2,2,1
DP Conway ,CSK,2025,4,4,2,1,0.5
DC Jurel ,RR,2025,12,4,2,1,0.5
R Shepherd ,RCB,2025,4,4,2,1,0.5
V Puthur ,MI,2025,5,5,2,1,0.4
JD Unadkat ,SRH,2025,5,5,2,1,0.4
Washington Sundar ,GT,2025,5,5,2,1,0.4
MM Ali ,KKR,2025,6,6,2,1,0.333
KK Nair ,DC,2025,7,6,2,1,0.333
Prince Yadav ,LSG,2025,6,6,2,2,0.333
V Shankar ,CSK,2025,6,6,2,1,0.333
I Sharma ,GT,2025,7,7,2,1,0.285
JJ Bumrah ,MI,2025,8,8,2,1,0.25
R Ravindra ,CSK,2025,8,8,2,1,0.25
PW Hasaranga ,RR,2025,9,9,2,2,0.222
Mohammed Shami ,SRH,2025,9,9,2,1,0.222
AR Sharma ,DC,2025,10,9,2,2,0.222
Abdul Samad ,LSG,2025,10,10,2,1,0.2
Avesh Khan ,LSG,2025,10,10,2,1,0.2
B Kumar ,RCB,2025,10,10,2,1,0.2
Mukesh Kumar ,DC,2025,10,10,2,1,0.2
V Nigam ,DC,2025,11,10,2,1,0.2
HV Patel ,SRH,2025,10,10,2,1,0.2
M Pathirana ,CSK,2025,10,10,2,1,0.2
YS Chahal ,PBKS,2025,12,11,2,1,0.181
HH Pandya ,MI,2025,11,11,2,1,0.181
RM Patidar ,RCB,2025,11,11,2,1,0.181
A Raghuvanshi ,KKR,2025,11,11,2,1,0.181
N Rana ,RR,2025,11,11,2,2,0.181
DL Chahar ,MI,2025,12,12,2,1,0.166
S Dube ,CSK,2025,12,12,2,2,0.166
Noor Ahmad ,CSK,2025,12,12,2,1,0.166
CV Varun ,KKR,2025,12,12,2,1,0.166
RA Bawa ,MI,2025,1,1,1,1,1
K Khejroliya ,GT,2025,1,1,1,1,1
PWA Mulder ,SRH,2025,1,1,1,1,1
