Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
DJ Willey ,RCB,2023,4,4,90,15,1,105,3,Feb-16,35,7,30,-,-
DL Chahar ,CSK,2020,14,14,312,52,2,396,12,Feb-18,33,7.61,26,-,-
DL Chahar ,CSK,2021,15,15,324,54,1,451,14,Apr-13,32.21,8.35,23.14,2,-
DL Chahar ,CSK,2023,10,10,204,34,-,297,13,Mar-22,22.84,8.73,15.69,-,-
DL Chahar ,CSK,2024,8,8,141,23.3,-,202,5,Feb-28,40.4,8.59,28.2,-,-
DL Chahar ,MI,2025,12,12,210,35,-,326,10,02-Dec,32.6,9.31,21,-,-
DR Sams ,RCB,2021,2,2,36,6,-,39,1,Jan-24,39,6.5,36,-,-
DR Sams ,MI,2022,11,11,252,42,-,370,13,Apr-30,28.46,8.8,19.38,1,-
DS Rathi ,LSG,2025,11,11,264,44,-,356,12,Feb-30,29.66,8.09,22,-,-
DT Christian ,RCB,2021,9,9,100,16.4,-,155,4,Feb-14,38.75,9.3,25,-,-
DW Steyn ,RCB,2020,3,3,70,11.4,-,133,1,Jan-33,133,11.4,70,-,-
E Malinga ,SRH,2025,4,4,90,15,-,142,6,Feb-36,23.66,9.46,15,-,-
FA Allen ,PBKS,2021,4,3,66,11,1,90,1,Jan-22,90,8.18,66,-,-
FA Allen ,MI,2022,1,1,24,4,-,46,1,Jan-46,46,11.5,24,-,-
Fazalhaq Farooqi ,SRH,2022,3,3,72,12,-,110,2,Feb-32,55,9.16,36,-,-
Fazalhaq Farooqi ,SRH,2023,4,4,80,13.2,-,117,4,Feb-41,29.25,8.77,20,-,-
G Coetzee ,MI,2024,10,10,201,33.3,-,341,13,Apr-34,26.23,10.17,15.46,1,-
G Coetzee ,GT,2025,2,2,36,6,-,46,2,01-Oct,23,7.66,18,-,-
GD Phillips ,RR,2021,3,2,12,2,-,20,1,Jan-17,20,10,12,-,-
GD Phillips ,SRH,2023,5,2,18,3,-,20,1,01-Oct,20,6.66,18,-,-
GHS Garton ,RCB,2021,5,5,90,15,-,135,3,Jan-27,45,9,30,-,-
GJ Maxwell ,PBKS,2020,13,7,126,21,-,169,3,01-Oct,56.33,8.04,42,-,-
GJ Maxwell ,RCB,2021,15,6,96,16,-,135,3,Feb-23,45,8.43,32,-,-
GJ Maxwell ,RCB,2022,13,10,144,24,1,165,6,Feb-22,27.5,6.87,24,-,-
GJ Maxwell ,RCB,2023,14,7,62,10.2,-,94,3,01-Mar,31.33,9.09,20.66,-,-
GJ Maxwell ,RCB,2024,10,6,96,16,-,129,6,Feb-23,21.5,8.06,16,-,-
GJ Maxwell ,PBKS,2025,7,6,78,13,-,110,4,01-May,27.5,8.46,19.5,-,-
Harpreet Brar ,PBKS,2021,7,7,138,23,1,139,5,Mar-19,27.8,6.04,27.6,-,-
Harpreet Brar ,PBKS,2022,5,5,96,16,-,146,4,Mar-26,36.5,9.12,24,-,-
Harpreet Brar ,PBKS,2023,13,11,163,27.1,-,218,9,Apr-30,24.22,8.02,18.11,1,-
Harpreet Brar ,PBKS,2024,13,13,228,38,-,303,7,Feb-13,43.28,7.97,32.57,-,-
Harpreet Brar ,PBKS,2025,4,3,48,8,-,73,4,Feb-25,18.25,9.12,12,-,-
Harshit Rana ,KKR,2022,2,2,30,5,-,51,1,Jan-24,51,10.2,30,-,-
Harshit Rana ,KKR,2023,6,6,102,17,-,147,5,Feb-33,29.4,8.64,20.4,-,-
Harshit Rana ,KKR,2024,13,11,253,42.1,1,383,19,Mar-24,20.15,9.08,13.31,-,-
Harshit Rana ,KKR,2025,12,12,246,41,-,408,15,Mar-25,27.2,9.95,16.4,-,-
HH Pandya ,GT,2022,15,10,183,30.3,-,222,8,Mar-17,27.75,7.27,22.87,-,-
HH Pandya ,GT,2023,16,11,150,25,-,228,3,01-Oct,76,9.12,50,-,-
HH Pandya ,MI,2024,14,12,216,36,-,387,11,Mar-31,35.18,10.75,19.63,-,-
HH Pandya ,MI,2025,11,11,168,28,-,257,13,May-36,19.76,9.17,12.92,-,1
HR Shokeen ,MI,2022,5,5,90,15,-,127,2,Feb-47,63.5,8.46,45,-,-
HR Shokeen ,MI,2023,8,8,114,19,-,187,3,Feb-34,62.33,9.84,38,-,-
HV Patel ,DC,2020,5,5,90,15,-,134,3,Feb-34,44.66,8.93,30,-,-
HV Patel ,RCB,2021,15,15,338,56.2,-,459,32,May-27,14.34,8.14,10.56,1,1
HV Patel ,RCB,2022,15,15,321,53.3,2,410,19,Apr-34,21.57,7.66,16.89,1,-
HV Patel ,RCB,2023,14,13,282,47,-,454,14,Mar-32,32.42,9.65,20.14,-,-
HV Patel ,PBKS,2024,14,14,294,49,-,477,24,Mar-15,19.87,9.73,12.25,-,-
HV Patel ,SRH,2025,10,10,204,34,-,321,14,Apr-28,22.92,9.44,14.57,2,-
I Sharma ,DC,2021,3,3,72,12,2,97,1,Jan-26,97,8.08,72,-,-
I Sharma ,DC,2023,8,8,150,25,-,206,10,Feb-19,20.6,8.24,15,-,-
I Sharma ,DC,2024,9,9,162,27,-,265,10,Mar-34,26.5,9.81,16.2,-,-
I Sharma ,GT,2025,7,7,110,18.2,-,205,4,Jan-18,51.25,11.18,27.5,-,-
I Udana ,RCB,2020,10,10,174,29,-,282,8,Feb-41,35.25,9.72,21.75,-,-
IC Porel ,PBKS,2021,1,1,24,4,-,39,1,Jan-39,39,9.75,24,-,-
Imran Tahir ,CSK,2020,3,3,66,11,-,76,1,Jan-24,76,6.9,66,-,-
Imran Tahir ,CSK,2021,1,1,24,4,-,16,2,Feb-16,8,4,12,-,-
J Suchith ,SRH,2022,5,5,108,18,-,140,7,02-Dec,20,7.77,15.42,-,-
J Yadav ,MI,2020,2,2,42,7,-,43,1,Jan-25,43,6.14,42,-,-
J Yadav ,MI,2021,5,5,102,17,-,130,2,Jan-25,65,7.64,51,-,-
JA Richardson ,PBKS,2021,3,3,66,11,-,117,3,Feb-41,39,10.63,22,-,-
JB Little ,GT,2023,10,10,204,34,-,294,7,Feb-25,42,8.64,29.14,-,-
JB Little ,GT,2024,1,1,24,4,-,45,4,Apr-45,11.25,11.25,6,1,-
JC Archer ,RR,2020,14,14,334,55.4,-,365,20,Mar-19,18.25,6.55,16.7,-,-
JC Archer ,MI,2023,5,5,120,20,-,190,2,Jan-35,95,9.5,60,-,-
JC Archer ,RR,2025,12,12,273,45.3,1,431,11,Mar-25,39.18,9.47,24.81,-,-
JD Unadkat ,RR,2020,7,7,138,23,-,228,4,Feb-32,57,9.91,34.5,-,-
JD Unadkat ,RR,2021,6,6,132,22,-,168,4,Mar-15,42,7.63,33,-,-
JD Unadkat ,MI,2022,5,5,120,20,-,190,6,Feb-32,31.66,9.5,20,-,-
JD Unadkat ,SRH,2024,11,11,187,31.1,-,319,8,Mar-30,39.87,10.23,23.37,-,-
JD Unadkat ,SRH,2025,5,5,95,15.5,-,110,7,Mar-35,15.71,6.94,13.57,-,-
JDS Neesham ,PBKS,2020,5,5,90,15,-,148,2,Jan-17,74,9.86,45,-,-
JDS Neesham ,MI,2021,3,3,54,9,-,66,5,03-Dec,13.2,7.33,10.8,-,-
JJ Bumrah ,MI,2020,15,15,360,60,2,404,27,Apr-14,14.96,6.73,13.33,2,-
JJ Bumrah ,MI,2021,14,14,330,55,-,410,21,Mar-36,19.52,7.45,15.71,-,-
JJ Bumrah ,MI,2022,14,14,320,53.2,2,383,15,05-Oct,25.53,7.18,21.33,-,1
JJ Bumrah ,MI,2024,13,13,311,51.5,-,336,20,May-21,16.8,6.48,15.55,-,1
JJ Bumrah ,MI,2025,8,8,192,32,-,214,13,Apr-22,16.46,6.68,14.76,1,-
JL Pattinson ,MI,2020,10,10,213,35.3,-,320,11,Feb-19,29.09,9.01,19.36,-,-
JO Holder ,SRH,2020,7,7,168,28,-,233,14,Mar-25,16.64,8.32,12,-,-
JO Holder ,SRH,2021,8,8,191,31.5,-,247,16,Apr-52,15.43,7.75,11.93,1,-
JO Holder ,LSG,2022,12,12,249,41.3,-,391,14,Mar-31,27.92,9.42,17.78,-,-
JO Holder ,RR,2023,8,8,171,28.3,-,284,4,Feb-29,71,9.96,42.75,-,-
JP Behrendorff ,MI,2023,12,12,252,42,-,387,14,Mar-23,27.64,9.21,18,-,-
JR Hazlewood ,CSK,2020,3,3,60,10,-,64,1,Jan-19,64,6.4,60,-,-
JR Hazlewood ,CSK,2021,9,9,210,35,-,293,11,Mar-24,26.63,8.37,19.09,-,-
JR Hazlewood ,RCB,2022,12,12,279,46.3,1,377,20,Apr-25,18.85,8.1,13.95,1,-
JR Hazlewood ,RCB,2023,3,3,54,9,-,76,3,Feb-15,25.33,8.44,18,-,-
JR Hazlewood ,RCB,2025,10,10,221,36.5,-,311,18,Apr-33,17.27,8.44,12.27,1,-
K Gowtham ,PBKS,2020,2,2,48,8,-,84,1,Jan-45,84,10.5,48,-,-
K Gowtham ,LSG,2022,4,4,72,12,1,99,5,Feb-30,19.8,8.25,14.4,-,-
K Gowtham ,LSG,2023,7,6,96,16,-,118,3,01-Oct,39.33,7.37,32,-,-
K Kartikeya ,MI,2022,4,4,78,13,-,102,5,Feb-22,20.4,7.84,15.6,-,-
K Kartikeya ,MI,2023,8,8,156,26,-,227,5,Feb-37,45.4,8.73,31.2,-,-
K Kartikeya ,RR,2025,4,4,48,8,-,78,2,Jan-21,39,9.75,24,-,-
K Khejroliya ,KKR,2023,2,2,26,4.2,-,64,2,Feb-44,32,14.76,13,-,-
K Khejroliya ,GT,2025,1,1,18,3,-,29,1,Jan-29,29,9.66,18,-,-
K Nitish Kumar Reddy ,SRH,2024,13,7,79,13.1,-,153,3,Feb-17,51,11.62,26.33,-,-
K Rabada ,DC,2020,17,17,394,65.4,1,548,30,Apr-24,18.26,8.34,13.13,2,-
K Rabada ,DC,2021,15,15,336,56,1,456,15,Mar-36,30.4,8.14,22.4,-,-
K Rabada ,PBKS,2022,13,13,288,48,-,406,23,Apr-33,17.65,8.45,12.52,2,-
K Rabada ,PBKS,2023,6,6,138,23,-,232,7,Feb-34,33.14,10.08,19.71,-,-
K Rabada ,PBKS,2024,11,11,252,42,-,372,11,Feb-18,33.81,8.85,22.9,-,-
K Rabada ,GT,2025,2,2,48,8,-,83,2,Jan-41,41.5,10.37,24,-,-
K Yadav ,RR,2023,2,2,42,7,-,68,2,Jan-18,34,9.71,21,-,-
KA Jamieson ,RCB,2021,9,9,168,28,-,269,9,Mar-41,29.88,9.6,18.66,-,-
KA Maharaj ,RR,2024,2,2,36,6,-,39,2,Feb-23,19.5,6.5,18,-,-
KA Pollard ,MI,2020,16,11,126,21,-,190,4,01-May,47.5,9.04,31.5,-,-
KA Pollard ,MI,2021,14,9,79,13.1,-,95,5,02-Aug,19,7.21,15.8,-,-
KA Pollard ,MI,2022,11,6,84,14,-,125,4,02-Aug,31.25,8.92,21,-,-
Kartik Tyagi ,RR,2020,10,10,229,38.1,-,367,9,Feb-36,40.77,9.61,25.44,-,-
Kartik Tyagi ,RR,2021,4,4,84,14,-,124,4,Feb-29,31,8.85,21,-,-
KH Pandya ,MI,2020,16,16,301,50.1,-,380,6,Feb-26,63.33,7.57,50.16,-,-
KH Pandya ,MI,2021,13,12,199,33.1,-,265,5,Jan-13,53,7.98,39.8,-,-
KH Pandya ,LSG,2022,14,12,228,38,1,265,10,Mar-19,26.5,6.97,22.8,-,-
KH Pandya ,LSG,2023,15,12,252,42,-,313,9,Mar-18,34.77,7.45,28,-,-
KH Pandya ,LSG,2024,14,12,198,33,-,255,6,03-Nov,42.5,7.72,33,-,-
KH Pandya ,RCB,2025,11,11,210,35,-,300,14,Apr-45,21.42,8.57,15,1,-
KK Ahmed ,SRH,2020,7,7,154,25.4,-,242,8,Feb-24,30.25,9.42,19.25,-,-
KK Ahmed ,SRH,2021,7,7,162,27,-,219,5,Mar-21,43.8,8.11,32.4,-,-
KK Ahmed ,DC,2022,10,10,235,39.1,-,315,16,Mar-25,19.68,8.04,14.68,-,-
KK Ahmed ,DC,2023,9,9,198,33,2,301,9,Feb-24,33.44,9.12,22,-,-
KK Ahmed ,DC,2024,14,14,300,50,2,479,17,Feb-21,28.17,9.58,17.64,-,-
KK Ahmed ,CSK,2025,12,12,244,40.4,-,395,14,Mar-29,28.21,9.71,17.42,-,-
KL Nagarkoti ,KKR,2020,10,9,156,26,-,231,5,Feb-13,46.2,8.88,31.2,-,-
KM Asif ,CSK,2021,1,1,13,2.1,-,18,1,Jan-18,18,8.3,13,-,-
KM Asif ,RR,2023,4,4,84,14,-,138,3,Feb-42,46,9.85,28,-,-
KR Sen ,RR,2022,7,7,151,25.1,-,237,8,Apr-20,29.62,9.41,18.87,1,-
KR Sen ,RR,2024,3,3,72,12,-,122,6,Mar-41,20.33,10.16,12,-,-
KT Maphaka ,MI,2024,2,2,36,6,-,89,1,Jan-23,89,14.83,36,-,-
Kuldeep Yadav ,KKR,2020,5,4,72,12,-,92,1,Jan-20,92,7.66,72,-,-
Kuldeep Yadav ,DC,2022,14,14,298,49.4,-,419,21,Apr-14,19.95,8.43,14.19,2,-
Kuldeep Yadav ,DC,2023,14,14,294,49,1,361,10,Feb-15,36.1,7.36,29.4,-,-
Kuldeep Yadav ,DC,2024,11,11,258,43,-,372,16,Apr-55,23.25,8.65,16.12,1,-
Kuldeep Yadav ,DC,2025,12,11,246,41,-,292,12,Mar-22,24.33,7.12,20.5,-,-
KV Sharma ,CSK,2020,5,5,114,19,-,165,5,Feb-25,33,8.68,22.8,-,-
KV Sharma ,RCB,2023,7,7,129,21.3,-,223,10,Feb-19,22.3,10.37,12.9,-,-
KV Sharma ,RCB,2024,9,9,144,24,-,254,7,Feb-29,36.28,10.58,20.57,-,-
KV Sharma ,MI,2025,5,4,72,12,-,97,6,Mar-23,16.16,8.08,12,-,-
KW Richardson ,RCB,2021,1,1,18,3,-,29,1,Jan-29,29,9.66,18,-,-
L Ngidi ,CSK,2020,4,4,96,16,-,167,9,Mar-38,18.55,10.43,10.66,-,-
L Ngidi ,CSK,2021,3,3,72,12,-,125,5,Mar-28,25,10.41,14.4,-,-
L Ngidi ,RCB,2025,1,1,24,4,-,30,3,Mar-30,10,7.5,8,-,-
L Wood ,MI,2024,2,2,36,6,-,93,1,Jan-68,93,15.5,36,-,-
Lalit Yadav ,DC,2021,7,5,84,14,-,101,4,Feb-13,25.25,7.21,21,-,-
Lalit Yadav ,DC,2022,12,8,108,18,-,150,4,02-Nov,37.5,8.33,27,-,-
Lalit Yadav ,DC,2023,6,4,78,13,-,118,2,Jan-29,59,9.07,39,-,-
LB Williams ,DC,2024,2,2,36,6,-,72,1,Jan-38,72,12,36,-,-
LH Ferguson ,KKR,2020,5,5,119,19.5,-,148,6,Mar-15,24.66,7.46,19.83,-,-
LH Ferguson ,KKR,2021,8,8,180,30,-,224,13,Mar-18,17.23,7.46,13.84,-,-
LH Ferguson ,GT,2022,13,13,286,47.4,-,427,12,Apr-28,35.58,8.95,23.83,1,-
LH Ferguson ,RCB,2024,7,7,144,24,-,255,9,Feb-23,28.33,10.62,16,-,-
LH Ferguson ,PBKS,2025,4,4,68,11.2,-,104,5,Feb-37,20.8,9.17,13.6,-,-
LI Meriwala ,DC,2021,1,1,18,3,-,32,1,Jan-32,32,10.66,18,-,-
LS Livingstone ,PBKS,2022,14,12,138,23,-,202,6,Mar-27,33.66,8.78,23,-,-
LS Livingstone ,PBKS,2023,9,5,42,7,-,94,2,Jan-19,47,13.42,21,-,-
LS Livingstone ,PBKS,2024,7,4,72,12,-,84,3,Feb-19,28,7,24,-,-
LS Livingstone ,RCB,2025,7,5,54,9,-,76,2,Feb-28,38,8.44,27,-,-
M Ashwin ,PBKS,2020,9,9,189,31.3,-,235,10,Mar-21,23.5,7.46,18.9,-,-
M Ashwin ,PBKS,2021,3,3,66,11,-,97,1,Jan-32,97,8.81,66,-,-
M Ashwin ,MI,2022,8,8,174,29,-,228,9,Feb-14,25.33,7.86,19.33,-,-
M Jansen ,MI,2021,2,2,36,6,-,45,2,Feb-28,22.5,7.5,18,-,-
M Jansen ,SRH,2022,8,8,192,32,-,274,7,Mar-25,39.14,8.56,27.42,-,-
M Jansen ,SRH,2023,8,8,162,27,1,267,10,Feb-16,26.7,9.88,16.2,-,-
M Jansen ,PBKS,2025,12,11,217,36.1,-,318,11,Mar-17,28.9,8.79,19.72,-,-
M Markande ,MI,2022,2,2,42,7,-,57,1,Jan-26,57,8.14,42,-,-
M Markande ,SRH,2023,10,10,228,38,-,300,12,Apr-15,25,7.89,19,1,-
M Markande ,SRH,2024,7,7,132,22,-,259,8,Feb-26,32.37,11.77,16.5,-,-
M Pathirana ,CSK,2022,2,2,41,6.5,-,52,2,Feb-24,26,7.6,20.5,-,-
M Pathirana ,CSK,2023,12,12,278,46.2,-,371,19,Mar-15,19.52,8,14.63,-,-
M Pathirana ,CSK,2024,6,6,132,22,-,169,13,Apr-28,13,7.68,10.15,1,-
M Pathirana ,CSK,2025,10,10,220,36.4,-,373,12,Mar-36,31.08,10.17,18.33,-,-
M Prasidh Krishna ,KKR,2020,6,6,105,17.3,-,164,4,Mar-29,41,9.37,26.25,-,-
M Prasidh Krishna ,KKR,2021,10,10,231,38.3,-,351,12,Mar-30,29.25,9.11,19.25,-,-
M Prasidh Krishna ,RR,2022,17,17,399,66.3,3,551,19,Mar-22,29,8.28,21,-,-
M Prasidh Krishna ,GT,2025,11,11,258,43,-,329,20,Apr-41,16.45,7.65,12.9,1,-
M Siddharth ,LSG,2024,3,3,54,9,-,71,1,Jan-21,71,7.88,54,-,-
M Siddharth ,LSG,2025,2,2,42,7,-,67,2,Feb-39,33.5,9.57,21,-,-
M Theekshana ,CSK,2022,9,9,210,35,-,261,12,Apr-33,21.75,7.45,17.5,1,-
M Theekshana ,CSK,2023,13,13,294,49,1,392,11,Feb-23,35.63,8,26.72,-,-
M Theekshana ,CSK,2024,5,5,120,20,-,144,2,Jan-27,72,7.2,60,-,-
M Theekshana ,RR,2025,11,11,252,42,-,410,11,Feb-26,37.27,9.76,22.9,-,-
MA Starc ,KKR,2024,14,13,251,41.5,-,444,17,Apr-33,26.11,10.61,14.76,1,-
MA Starc ,DC,2025,12,11,228,38,-,389,14,May-35,27.78,10.23,16.28,-,1
MA Wood ,LSG,2023,4,4,96,16,1,130,11,May-14,11.81,8.12,8.72,-,1
MC Henriques ,PBKS,2021,5,5,60,10,-,45,4,03-Dec,11.25,4.5,15,-,-
MG Bracewell ,RCB,2023,5,5,66,11,-,95,6,Feb-13,15.83,8.63,11,-,-
MJ Henry ,LSG,2024,4,4,72,12,-,110,1,Jan-28,110,9.16,72,-,-
MJ Santner ,CSK,2020,2,2,42,7,-,53,2,Jan-23,26.5,7.57,21,-,-
MJ Santner ,CSK,2022,6,6,114,19,-,130,4,Jan-15,32.5,6.84,28.5,-,-
MJ Santner ,CSK,2023,3,3,72,12,-,81,3,Feb-28,27,6.75,24,-,-
MJ Santner ,CSK,2024,3,3,54,9,-,64,2,01-Oct,32,7.11,27,-,-
MJ Santner ,MI,2025,9,9,171,28.3,-,236,4,Feb-43,59,8.28,42.75,-,-
MK Lomror ,RR,2021,4,4,42,7,-,47,1,Jan-22,47,6.71,42,-,-
MM Ali ,RCB,2020,3,3,30,5,-,42,1,Jan-21,42,8.4,30,-,-
MM Ali ,CSK,2021,15,10,152,25.2,-,161,6,03-Jul,26.83,6.35,25.33,-,-
MM Ali ,CSK,2022,10,10,143,23.5,-,158,8,Mar-13,19.75,6.62,17.87,-,-
MM Ali ,CSK,2023,15,11,156,26,-,195,9,Apr-26,21.66,7.5,17.33,1,-
MM Ali ,CSK,2024,8,4,48,8,-,71,2,Feb-23,35.5,8.87,24,-,-
MM Ali ,KKR,2025,6,5,96,16,1,136,6,Feb-23,22.66,8.5,16,-,-
MM Sharma ,DC,2020,1,1,24,4,-,45,1,Jan-45,45,11.25,24,-,-
MM Sharma ,GT,2023,14,14,265,44.1,-,361,27,05-Oct,13.37,8.17,9.81,2,1
MM Sharma ,GT,2024,12,11,234,39,-,425,13,Mar-25,32.69,10.89,18,-,-
MM Sharma ,DC,2025,7,7,126,21,-,210,2,01-Oct,105,10,63,-,-
Mohammad Nabi ,SRH,2021,3,3,48,8,-,86,2,Feb-32,43,10.75,24,-,-
Mohammad Nabi ,MI,2024,7,6,74,12.2,-,109,2,Jan-16,54.5,8.83,37,-,-
Mohammed Shami ,PBKS,2020,14,14,322,53.4,-,460,20,Mar-15,23,8.57,16.1,-,-
Mohammed Shami ,PBKS,2021,14,14,316,52.4,1,395,19,Mar-21,20.78,7.5,16.63,-,-
Mohammed Shami ,GT,2022,16,16,366,61,-,488,20,Mar-25,24.4,8,18.3,-,-
Mohammed Shami ,GT,2023,17,17,390,65,2,522,28,04-Nov,18.64,8.03,13.92,2,-
Mohammed Shami ,SRH,2025,9,9,180,30,-,337,6,Feb-28,56.16,11.23,30,-,-
Mohammed Siraj ,RCB,2020,9,9,163,27.1,2,236,11,03-Aug,21.45,8.68,14.81,-,-
Mohammed Siraj ,RCB,2021,15,15,312,52,1,353,11,Mar-27,32.09,6.78,28.36,-,-
Mohammed Siraj ,RCB,2022,15,15,306,51,-,514,9,Feb-30,57.11,10.07,34,-,-
Mohammed Siraj ,RCB,2023,14,14,300,50,-,375,19,Apr-21,19.73,7.5,15.78,1,-
Mohammed Siraj ,RCB,2024,14,14,324,54,-,496,15,Mar-43,33.06,9.18,21.6,-,-
Mohammed Siraj ,GT,2025,11,11,246,41,-,369,15,Apr-17,24.6,9,16.4,1,-
Mohsin Khan ,LSG,2022,9,9,198,33,2,197,14,Apr-16,14.07,5.96,14.14,1,-
Mohsin Khan ,LSG,2023,5,4,60,10,-,107,3,Jan-24,35.66,10.7,20,-,-
Mohsin Khan ,LSG,2024,10,10,228,38,-,385,10,Feb-29,38.5,10.13,22.8,-,-
MP Stoinis ,DC,2020,17,13,178,29.4,-,283,13,Mar-26,21.76,9.53,13.69,-,-
MP Stoinis ,DC,2021,10,8,67,11.1,-,117,2,01-Jul,58.5,10.47,33.5,-,-
MP Stoinis ,LSG,2022,11,5,42,7,-,79,4,Mar-23,19.75,11.28,10.5,-,-
MP Stoinis ,LSG,2023,15,5,65,10.5,-,100,5,Feb-20,20,9.23,13,-,-
MP Stoinis ,LSG,2024,14,7,84,14,-,126,4,01-Mar,31.5,9,21,-,-
MP Yadav ,LSG,2024,4,4,73,12.1,-,85,7,Mar-14,12.14,6.98,10.42,-,-
MP Yadav ,LSG,2025,2,2,48,8,-,100,2,Feb-40,50,12.5,24,-,-
MR Marsh ,DC,2022,8,4,72,12,-,102,4,Feb-25,25.5,8.5,18,-,-
MR Marsh ,DC,2023,9,8,121,20.1,1,170,12,Apr-27,14.16,8.42,10.08,1,-
MR Marsh ,DC,2024,4,3,48,8,-,103,1,Jan-37,103,12.87,48,-,-
Mujeeb Ur Rahman ,SRH,2021,1,1,24,4,-,29,2,Feb-29,14.5,7.25,12,-,-
Mujeeb Ur Rahman ,MI,2025,1,1,12,2,-,28,1,Jan-28,28,14,12,-,-
Mukesh Choudhary ,CSK,2022,13,13,273,45.3,-,424,16,Apr-46,26.5,9.31,17.06,1,-
Mukesh Choudhary ,CSK,2025,2,2,36,6,-,71,1,Jan-21,71,11.83,36,-,-
Mukesh Kumar ,DC,2023,10,10,186,31,-,326,7,Feb-30,46.57,10.51,26.57,-,-
Mukesh Kumar ,DC,2024,10,10,213,35.3,-,368,17,Mar-14,21.64,10.36,12.52,-,-
Mukesh Kumar ,DC,2025,10,10,189,31.3,1,311,9,Apr-33,34.55,9.87,21,1,-
Mustafizur Rahman ,RR,2021,14,14,311,51.5,-,436,14,Mar-20,31.14,8.41,22.21,-,-
Mustafizur Rahman ,DC,2022,8,8,192,32,-,244,8,Mar-18,30.5,7.62,24,-,-
Mustafizur Rahman ,CSK,2024,9,9,206,34.2,1,318,14,Apr-29,22.71,9.26,14.71,1,-
N Burger ,RR,2024,6,5,102,17,-,145,7,Feb-29,20.71,8.52,14.57,-,-
N Rana ,KKR,2023,14,6,53,8.5,-,75,3,Feb-17,25,8.49,17.66,-,-
N Thushara ,MI,2024,7,7,156,26,-,257,8,Mar-28,32.12,9.88,19.5,-,-
NA Saini ,RCB,2020,13,13,274,45.4,1,379,6,Feb-25,63.16,8.29,45.66,-,-
NA Saini ,RR,2022,2,2,36,6,-,72,3,Feb-36,24,12,12,-,-
NA Saini ,RR,2023,2,2,36,6,-,74,3,Mar-40,24.66,12.33,12,-,-
Naveen-ul-Haq ,LSG,2023,8,7,168,28,-,219,11,Apr-38,19.9,7.82,15.27,1,-
Naveen-ul-Haq ,LSG,2024,10,10,219,36.3,-,372,14,Mar-49,26.57,10.19,15.64,-,-
NM Coulter-Nile ,MI,2020,7,7,156,26,-,206,5,Feb-29,41.2,7.92,31.2,-,-
NM Coulter-Nile ,MI,2021,5,5,120,20,-,127,7,Apr-14,18.14,6.35,17.14,1,-
Noor Ahmad ,GT,2023,13,13,283,47.1,-,369,16,Mar-37,23.06,7.82,17.68,-,-
Noor Ahmad ,GT,2024,10,10,209,34.5,-,290,8,Feb-20,36.25,8.32,26.12,-,-
Noor Ahmad ,CSK,2025,12,12,258,43,-,345,20,Apr-18,17.25,8.02,12.9,2,-
NT Ellis ,PBKS,2021,3,3,66,11,-,90,1,01-Dec,90,8.18,66,-,-
NT Ellis ,PBKS,2022,2,2,36,6,-,55,3,Mar-40,18.33,9.16,12,-,-
NT Ellis ,PBKS,2023,10,10,228,38,-,339,13,Apr-30,26.07,8.92,17.53,1,-
NT Ellis ,PBKS,2024,1,1,24,4,-,24,1,Jan-24,24,6,24,-,-
NT Ellis ,CSK,2025,1,1,24,4,-,38,1,Jan-38,38,9.5,24,-,-
OC McCoy ,RR,2022,7,7,155,25.5,-,237,11,Mar-23,21.54,9.17,14.09,-,-
OF Smith ,PBKS,2022,6,6,90,15,-,178,6,Apr-30,29.66,11.86,15,1,-
P Dubey ,DC,2023,1,1,18,3,-,19,1,Jan-19,19,6.33,18,-,-
PH Solanki ,CSK,2022,2,2,36,6,-,38,2,Feb-20,19,6.33,18,-,-
PHKD Mendis ,SRH,2025,4,4,42,7,-,60,2,01-Apr,30,8.57,21,-,-
PJ Cummins ,KKR,2020,14,14,312,52,-,409,12,Apr-34,34.08,7.86,26,1,-
PJ Cummins ,KKR,2021,7,7,161,26.5,-,237,9,Mar-24,26.33,8.83,17.88,-,-
PJ Cummins ,KKR,2022,5,5,119,19.5,-,212,7,Mar-22,30.28,10.68,17,-,-
PJ Cummins ,SRH,2024,16,16,366,61,1,566,18,Mar-43,31.44,9.27,20.33,-,-
PJ Cummins ,SRH,2025,11,11,238,39.4,-,363,13,Mar-19,27.92,9.15,18.3,-,-
PJ Sangwan ,GT,2022,3,3,54,9,-,65,3,Feb-19,21.66,7.22,18,-,-
PP Chawla ,CSK,2020,7,7,126,21,-,191,6,Feb-33,31.83,9.09,21,-,-
PP Chawla ,MI,2021,1,1,24,4,-,38,1,Jan-38,38,9.5,24,-,-
PP Chawla ,MI,2023,16,16,366,61,-,495,22,Mar-22,22.5,8.11,16.63,-,-
PP Chawla ,MI,2024,11,11,210,35,-,312,13,Mar-29,24,8.91,16.15,-,-
Prince Yadav ,LSG,2025,6,6,137,22.5,-,225,3,Jan-29,75,9.85,45.66,-,-
PVD Chameera ,LSG,2022,12,12,264,44,-,384,9,Feb-17,42.66,8.72,29.33,-,-
PVD Chameera ,DC,2025,5,4,66,11,-,122,3,Jan-24,40.66,11.09,22,-,-
PVSN Raju ,MI,2025,2,2,24,4,-,53,1,Jan-40,53,13.25,24,-,-
PW Hasaranga ,RCB,2022,16,16,342,57,1,430,26,May-18,16.53,7.54,13.15,1,1
