Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SM Curran ,PBKS,2024,13,13,246,41,-,416,16,Mar-28,26,10.14,15.37,-,-
SM Curran ,CSK,2025,5,5,72,12,-,133,1,Jan-34,133,11.08,72,-,-
SN Thakur ,CSK,2020,9,9,194,32.2,-,275,10,Feb-28,27.5,8.5,19.4,-,-
SN Thakur ,CSK,2021,16,16,359,59.5,1,527,21,Mar-28,25.09,8.8,17.09,-,-
SN Thakur ,DC,2022,14,14,290,48.2,1,473,15,Apr-36,31.53,9.78,19.33,1,-
SN Thakur ,KKR,2023,11,9,126,21,-,220,7,Feb-23,31.42,10.47,18,-,-
SN Thakur ,CSK,2024,9,9,190,31.4,-,309,5,Feb-61,61.8,9.75,38,-,-
SN Thakur ,LSG,2025,9,9,180,30,-,336,12,Apr-34,28,11.2,15,1,-
SP Narine ,KKR,2020,10,10,228,38,-,302,5,Feb-28,60.4,7.94,45.6,-,-
SP Narine ,KKR,2021,14,14,336,56,-,361,16,Apr-21,22.56,6.44,21,1,-
SP Narine ,KKR,2022,14,14,336,56,-,312,9,Feb-21,34.66,5.57,37.33,-,-
SP Narine ,KKR,2023,14,14,288,48,-,383,11,Mar-33,34.81,7.97,26.18,-,-
SP Narine ,KKR,2024,15,14,330,55,-,368,17,Feb-22,21.64,6.69,19.41,-,-
SP Narine ,KKR,2025,11,11,246,41,-,309,10,Mar-13,30.9,7.53,24.6,-,-
SS Cottrell ,PBKS,2020,6,6,120,20,1,176,6,Feb-17,29.33,8.8,20,-,-
Suyash Sharma ,KKR,2023,11,11,234,39,-,321,10,Mar-30,32.1,8.23,23.4,-,-
Suyash Sharma ,RCB,2025,10,10,234,39,-,322,4,Feb-26,80.5,8.25,58.5,-,-
Swapnil Singh ,RCB,2024,7,7,90,15,-,133,6,Feb-28,22.16,8.86,15,-,-
T Natarajan ,SRH,2020,16,16,377,62.5,1,504,16,Feb-24,31.5,8.02,23.56,-,-
T Natarajan ,SRH,2021,2,2,48,8,-,69,2,Jan-32,34.5,8.62,24,-,-
T Natarajan ,SRH,2022,11,11,258,43,-,406,18,03-Oct,22.55,9.44,14.33,-,-
T Natarajan ,SRH,2023,12,12,270,45,-,410,10,Feb-23,41,9.11,27,-,-
T Natarajan ,SRH,2024,14,14,308,51.2,1,465,19,Apr-19,24.47,9.05,16.21,1,-
T Natarajan ,DC,2025,2,1,7,1.1,-,4,1,01-Apr,4,3.42,7,-,-
T Stubbs ,MI,2023,2,1,12,2,-,14,1,Jan-14,14,7,12,-,-
T Stubbs ,DC,2024,14,2,12,2,-,15,3,02-Nov,5,7.5,4,-,-
TA Boult ,MI,2020,15,15,344,57.2,3,457,25,Apr-18,18.28,7.97,13.76,1,-
TA Boult ,MI,2021,14,14,308,51.2,1,406,13,Mar-28,31.23,7.9,23.69,-,-
TA Boult ,RR,2022,16,16,372,62,3,492,16,Feb-18,30.75,7.93,23.25,-,-
TA Boult ,RR,2023,10,10,228,38,3,312,13,Mar-29,24,8.21,17.53,-,-
TA Boult ,RR,2024,16,15,320,53.2,-,443,16,Mar-22,27.68,8.3,20,-,-
TA Boult ,MI,2025,12,12,253,42.1,-,358,18,Apr-26,19.88,8.49,14.05,1,-
TG Southee ,KKR,2021,3,3,72,12,-,95,3,Feb-26,31.66,7.91,24,-,-
TG Southee ,KKR,2022,9,9,210,35,-,275,14,Mar-20,19.64,7.85,15,-,-
TG Southee ,KKR,2023,2,2,36,6,-,79,2,Feb-54,39.5,13.16,18,-,-
TK Curran ,RR,2020,5,5,109,18.1,-,208,3,Jan-37,69.33,11.44,36.33,-,-
TK Curran ,DC,2021,3,3,68,11.2,-,104,4,Mar-29,26,9.17,17,-,-
TS Mills ,MI,2022,5,5,102,17,-,190,6,Mar-35,31.66,11.17,17,-,-
TU Deshpande ,DC,2020,5,5,102,17,-,192,3,Feb-37,64,11.29,34,-,-
TU Deshpande ,CSK,2022,2,2,42,7,-,63,1,Jan-40,63,9,42,-,-
TU Deshpande ,CSK,2023,16,16,341,56.5,-,564,21,Mar-45,26.85,9.92,16.23,-,-
TU Deshpande ,CSK,2024,13,13,288,48,-,424,17,Apr-27,24.94,8.83,16.94,1,-
TU Deshpande ,RR,2025,8,8,144,24,-,270,6,Mar-44,45,11.25,24,-,-
Umran Malik ,SRH,2021,3,3,72,12,-,96,2,Jan-21,48,8,36,-,-
Umran Malik ,SRH,2022,14,14,295,49.1,1,444,22,May-25,20.18,9.03,13.4,1,1
Umran Malik ,SRH,2023,8,8,120,20,-,217,5,Feb-32,43.4,10.85,24,-,-
UT Yadav ,KKR,2022,12,12,288,48,2,339,16,Apr-23,21.18,7.06,18,1,-
UT Yadav ,GT,2024,7,7,126,21,-,210,8,Feb-22,26.25,10,15.75,-,-
V Kaverappa ,PBKS,2024,1,1,24,4,-,36,2,Feb-36,18,9,12,-,-
V Nigam ,DC,2025,11,10,162,27,-,256,9,Feb-18,28.44,9.48,18,-,-
V Puthur ,MI,2025,5,5,72,12,-,109,6,Mar-32,18.16,9.08,12,-,-
V Shankar ,SRH,2020,7,5,79,13.1,-,82,4,01-Nov,20.5,6.22,19.75,-,-
V Shankar ,SRH,2021,7,5,66,11,-,100,3,Feb-19,33.33,9.09,22,-,-
V Viyaskanth ,SRH,2024,3,3,60,10,-,86,1,Jan-37,86,8.6,60,-,-
V Vyshak ,RCB,2023,7,7,144,24,-,253,9,Mar-20,28.11,10.54,16,-,-
V Vyshak ,RCB,2024,4,4,87,14.3,-,142,4,Feb-23,35.5,9.79,21.75,-,-
VG Arora ,PBKS,2022,5,5,107,17.5,-,164,3,Feb-21,54.66,9.19,35.66,-,-
