Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
Akash Deep ,LSG,2025,4,1,0,0,0,out,0,1,0,0,0,1,0,0
Akash Deep ,RCB,2023,2,1,0,17,17,out,17,8,212.5,0,0,0,2,1
AM Rahane ,CSK,2023,14,11,1,326,71,not out,32.6,189,172.48,0,2,0,24,16
AM Rahane ,CSK,2024,13,12,0,242,45,out,20.16,196,123.46,0,0,0,23,7
AM Rahane ,DC,2020,9,8,0,113,60,out,14.12,107,105.6,0,1,2,12,2
AM Rahane ,DC,2021,2,1,0,8,8,out,8,8,100,0,0,0,1,0
AM Rahane ,KKR,2022,7,7,0,133,44,out,19,128,103.9,0,0,0,14,4
AM Rahane ,KKR,2025,12,11,1,375,61,out,37.5,256,146.48,0,3,0,33,20
Aman Hakim Khan ,DC,2023,11,9,1,110,51,out,13.75,101,108.91,0,1,1,7,6
Aman Hakim Khan ,KKR,2022,1,1,0,5,5,out,5,3,166.66,0,0,0,1,0
Anmolpreet Singh ,MI,2021,1,1,0,16,16,out,16,14,114.28,0,0,0,2,1
Anmolpreet Singh ,MI,2022,2,2,0,13,8,out,6.5,13,100,0,0,0,1,0
Anmolpreet Singh ,SRH,2023,4,4,0,105,36,out,26.25,82,128.04,0,0,0,15,2
Anmolpreet Singh ,SRH,2024,2,2,0,5,5,out,2.5,6,83.33,0,0,1,1,0
Anuj Rawat ,RCB,2022,8,8,0,129,66,out,16.12,118,109.32,0,1,3,10,7
Anuj Rawat ,RCB,2023,9,7,4,91,29,not out,30.33,71,128.16,0,0,0,6,4
Anuj Rawat ,RCB,2024,5,5,1,98,48,out,24.5,77,127.27,0,0,0,10,3
Anuj Rawat ,RR,2021,2,1,0,0,0,out,0,1,0,0,0,1,0,0
AR Patel ,DC,2020,15,9,1,117,42,out,14.62,85,137.64,0,0,0,6,8
AR Patel ,DC,2021,12,6,1,40,12,out,8,46,86.95,0,0,1,2,1
AR Patel ,DC,2022,13,10,6,182,42,not out,45.5,120,151.66,0,0,0,12,10
AR Patel ,DC,2023,14,13,3,283,54,out,28.3,203,139.4,0,1,0,21,15
AR Patel ,DC,2024,14,12,4,235,66,out,29.37,179,131.28,0,2,1,19,10
AR Patel ,DC,2025,12,10,1,238,43,out,26.44,151,157.61,0,0,0,21,14
AR Sharma ,DC,2025,10,8,2,186,66,not out,31,111,167.56,0,1,0,13,12
AR Sharma ,PBKS,2024,11,9,2,189,61,out,27,113,167.25,0,1,0,10,15
Arshad Khan ,GT,2025,6,3,3,2,1,not out,0,2,100,0,0,0,0,0
Arshad Khan ,LSG,2024,4,4,2,83,58,not out,41.5,54,153.7,0,1,1,6,5
Arshad Khan ,MI,2023,6,3,1,18,15,not out,9,15,120,0,0,0,0,1
Arshdeep Singh ,PBKS,2020,8,1,0,0,0,out,0,3,0,0,0,1,0,0
Arshdeep Singh ,PBKS,2021,12,2,2,2,1,not out,0,3,66.66,0,0,0,0,0
Arshdeep Singh ,PBKS,2022,14,6,3,21,10,not out,7,29,72.41,0,0,2,3,0
Arshdeep Singh ,PBKS,2024,14,1,0,4,4,out,4,3,133.33,0,0,0,1,0
Arshdeep Singh ,PBKS,2025,12,2,1,2,1,not out,2,6,33.33,0,0,0,0,0
AS Joseph ,GT,2022,9,3,2,5,4,not out,5,7,71.42,0,0,1,0,0
AS Joseph ,GT,2023,7,2,2,7,7,not out,0,12,58.33,0,0,0,1,0
AS Rajpoot ,RR,2020,6,2,1,9,7,not out,9,10,90,0,0,0,0,1
AS Roy ,KKR,2023,4,4,2,23,13,not out,11.5,19,121.05,0,0,1,3,0
AS Roy ,KKR,2024,4,1,1,3,3,not out,0,3,100,0,0,0,0,0
AS Roy ,KKR,2025,1,1,0,0,0,out,0,1,0,0,0,1,0,0
AS Tendulkar ,MI,2023,4,1,0,13,13,out,13,9,144.44,0,0,0,0,1
AT Carey ,DC,2020,3,3,1,32,14,not out,16,29,110.34,0,0,0,0,1
AT Rayudu ,CSK,2020,12,11,2,359,71,out,39.88,282,127.3,0,1,0,30,12
AT Rayudu ,CSK,2021,16,13,4,257,72,not out,28.55,170,151.17,0,2,1,16,17
AT Rayudu ,CSK,2022,13,11,0,274,78,out,24.9,224,122.32,0,1,0,25,15
AT Rayudu ,CSK,2023,16,12,2,158,27,not out,15.8,113,139.82,0,0,1,10,9
AU Rashid ,SRH,2023,2,2,0,22,18,out,11,16,137.5,0,0,0,2,1
AU Verma ,SRH,2025,11,9,1,193,74,out,24.12,125,154.4,0,1,0,9,16
Avesh Khan ,DC,2021,16,1,0,5,5,out,5,3,166.66,0,0,0,1,0
Avesh Khan ,LSG,2022,13,4,3,22,12,out,22,13,169.23,0,0,0,0,3
Avesh Khan ,LSG,2025,10,4,3,21,19,not out,21,12,175,0,0,1,3,1
Avesh Khan ,RR,2024,16,3,3,10,7,not out,0,5,200,0,0,0,1,0
Azmatullah Omarzai ,GT,2024,7,4,0,42,17,out,10.5,33,127.27,0,0,0,2,2
Azmatullah Omarzai ,PBKS,2025,5,1,0,16,16,out,16,15,106.66,0,0,0,2,1
B Indrajith ,KKR,2022,3,3,0,21,15,out,7,30,70,0,0,1,2,0
B Kumar ,RCB,2025,10,4,3,10,8,out,10,21,47.61,0,0,0,1,0
B Kumar ,SRH,2020,4,1,0,0,0,out,0,2,0,0,0,1,0,0
B Kumar ,SRH,2021,11,7,6,34,14,not out,34,30,113.33,0,0,0,3,0
B Kumar ,SRH,2022,14,6,3,24,8,out,8,26,92.3,0,0,0,3,0
B Kumar ,SRH,2023,14,6,3,42,27,out,14,47,89.36,0,0,0,4,0
B Kumar ,SRH,2024,16,5,2,23,13,out,7.66,29,79.31,0,0,1,3,0
B Sai Sudharsan ,GT,2022,5,5,1,145,65,not out,36.25,114,127.19,0,1,0,14,3
B Sai Sudharsan ,GT,2023,8,8,1,362,96,out,51.71,256,141.4,0,3,0,33,12
B Sai Sudharsan ,GT,2024,12,12,1,527,103,out,47.9,373,141.28,1,2,0,48,16
B Sai Sudharsan ,GT,2025,11,11,0,509,82,out,46.27,332,153.31,0,5,0,56,16
BA Stokes ,CSK,2023,2,2,0,15,8,out,7.5,14,107.14,0,0,0,2,0
BA Stokes ,RR,2020,8,8,1,285,107,not out,40.71,200,142.5,1,1,0,36,7
BA Stokes ,RR,2021,1,1,0,0,0,out,0,3,0,0,0,1,0,0
C Bosch ,MI,2025,3,2,0,47,27,out,23.5,32,146.87,0,0,0,3,3
C Green ,MI,2023,16,16,7,452,100,not out,50.22,282,160.28,1,2,0,40,22
C Green ,RCB,2024,13,12,4,255,46,out,31.87,178,143.25,0,0,0,22,10
C Sakariya ,DC,2023,2,2,1,4,4,out,4,6,66.66,0,0,0,1,0
C Sakariya ,RR,2021,14,6,1,16,7,out,3.2,25,64,0,0,1,2,0
CA Lynn ,MI,2021,1,1,0,49,49,out,49,35,140,0,0,0,4,3
CH Gayle ,PBKS,2020,7,7,0,288,99,out,41.14,210,137.14,0,3,0,15,23
CH Gayle ,PBKS,2021,10,10,1,193,46,out,21.44,154,125.32,0,0,1,21,8
CH Morris ,RCB,2020,9,5,1,34,25,not out,8.5,21,161.9,0,0,1,2,3
CH Morris ,RR,2021,11,7,2,67,36,not out,13.4,49,136.73,0,0,2,2,5
CJ Jordan ,CSK,2022,4,2,1,11,6,not out,11,8,137.5,0,0,0,0,0
CJ Jordan ,MI,2023,6,2,0,6,4,out,3,12,50,0,0,0,0,0
CJ Jordan ,PBKS,2020,9,5,2,29,13,out,9.66,31,93.54,0,0,0,2,0
CJ Jordan ,PBKS,2021,4,2,0,32,30,out,16,21,152.38,0,0,0,1,3
CR Woakes ,DC,2021,3,1,1,15,15,not out,0,11,136.36,0,0,0,2,0
CV Varun ,KKR,2020,13,3,1,10,7,not out,5,15,66.66,0,0,0,0,0
CV Varun ,KKR,2021,17,3,2,2,2,not out,2,4,50,0,0,1,0,0
CV Varun ,KKR,2022,11,4,4,12,10,not out,0,18,66.66,0,0,0,2,0
CV Varun ,KKR,2025,12,1,1,1,1,not out,0,1,100,0,0,0,0,0
D Brevis ,CSK,2025,4,4,0,126,52,out,31.5,77,163.63,0,1,1,7,9
D Brevis ,MI,2022,7,7,0,161,49,out,23,113,142.47,0,0,0,14,11
D Brevis ,MI,2024,3,3,0,69,46,out,23,59,116.94,0,0,1,3,5
D Ferreira ,DC,2025,1,1,0,1,1,out,1,3,33.33,0,0,0,0,0
D Ferreira ,RR,2024,2,2,0,8,7,out,4,11,72.72,0,0,0,0,0
D Padikkal ,LSG,2024,7,7,0,38,13,out,5.42,53,71.69,0,0,2,3,0
D Padikkal ,RCB,2020,15,15,0,473,74,out,31.53,379,124.8,0,5,0,51,8
D Padikkal ,RCB,2021,14,14,1,411,101,not out,31.61,328,125.3,1,1,2,44,14
D Padikkal ,RCB,2025,10,10,1,247,61,out,27.44,164,150.6,0,2,1,21,14
D Padikkal ,RR,2022,17,17,0,376,54,out,22.11,306,122.87,0,1,1,40,14
D Padikkal ,RR,2023,11,11,1,261,52,out,26.1,200,130.5,0,2,0,31,6
D Pretorius ,CSK,2022,6,5,1,44,22,out,11,28,157.14,0,0,1,3,3
D Wiese ,KKR,2023,3,3,2,21,12,not out,21,11,190.9,0,0,0,0,3
DA Miller ,GT,2022,16,16,9,481,94,not out,68.71,337,142.72,0,2,0,32,23
DA Miller ,GT,2023,16,13,5,259,46,out,32.37,178,145.5,0,0,1,18,13
DA Miller ,GT,2024,9,9,3,210,55,out,35,139,151.07,0,1,0,20,8
DA Miller ,LSG,2025,11,11,6,153,27,not out,30.6,120,127.5,0,0,0,13,4
DA Miller ,RR,2020,1,1,0,0,0,out,0,0,0,0,0,1,0,0
DA Miller ,RR,2021,9,8,3,124,62,out,24.8,113,109.73,0,1,1,11,3
DA Warner ,DC,2022,12,12,3,432,92,not out,48,287,150.52,0,5,1,52,15
DA Warner ,DC,2023,14,14,0,516,86,out,36.85,392,131.63,0,6,2,69,10
DA Warner ,DC,2024,8,8,0,168,52,out,21,125,134.4,0,1,0,17,10
DA Warner ,SRH,2020,16,16,2,548,85,not out,39.14,407,134.64,0,4,0,52,14
DA Warner ,SRH,2021,8,8,0,195,57,out,24.37,181,107.73,0,2,1,15,6
DC Jurel ,RR,2023,13,11,4,152,34,not out,21.71,88,172.72,0,0,1,11,9
DC Jurel ,RR,2024,15,11,3,195,56,not out,24.37,141,138.29,0,2,1,18,7
DC Jurel ,RR,2025,12,11,3,249,70,out,31.12,170,146.47,0,1,1,17,15
DG Nalkande ,GT,2024,3,1,0,12,12,out,12,11,109.09,0,0,0,0,1
DJ Bravo ,CSK,2020,6,2,0,7,7,out,3.5,6,116.66,0,0,1,0,0
DJ Bravo ,CSK,2021,11,3,2,47,23,out,47,18,261.11,0,0,0,3,4
DJ Bravo ,CSK,2022,10,6,4,23,12,out,11.5,24,95.83,0,0,1,1,1
DJ Hooda ,CSK,2025,6,5,0,31,22,out,6.2,41,75.6,0,0,1,2,1
DJ Hooda ,LSG,2022,15,14,0,451,59,out,32.21,330,136.66,0,4,0,36,18
DJ Hooda ,LSG,2023,12,12,1,84,17,out,7.63,90,93.33,0,0,0,3,2
DJ Hooda ,LSG,2024,11,9,1,145,50,out,18.12,105,138.09,0,1,1,16,3
DJ Hooda ,PBKS,2020,7,5,4,101,62,not out,101,71,142.25,0,1,1,5,5
DJ Hooda ,PBKS,2021,12,11,1,160,64,out,16,123,130.08,0,1,1,9,9
DJ Malan ,PBKS,2021,1,1,0,26,26,out,26,26,100,0,0,0,1,1
DJ Mitchell ,CSK,2024,13,13,2,318,63,out,28.9,223,142.6,0,2,0,27,10
DJ Mitchell ,RR,2022,2,2,0,33,17,out,16.5,44,75,0,0,0,1,0
DJ Willey ,RCB,2022,4,2,0,18,18,out,9,30,60,0,0,1,3,0
DJ Willey ,RCB,2023,4,3,3,35,20,not out,0,32,109.37,0,0,0,4,0
DL Chahar ,CSK,2020,14,3,2,7,5,not out,7,12,58.33,0,0,1,0,0
DL Chahar ,CSK,2021,15,2,2,1,1,not out,0,1,100,0,0,0,0,0
DL Chahar ,MI,2025,12,4,3,37,28,not out,37,25,148,0,0,1,3,2
DP Conway ,CSK,2022,7,7,1,252,87,out,42,173,145.66,0,3,1,22,12
DP Conway ,CSK,2023,16,15,2,672,92,not out,51.69,481,139.7,0,6,1,77,18
DP Conway ,CSK,2025,4,4,0,94,69,out,23.5,76,123.68,0,1,1,9,2
DR Sams ,DC,2020,3,1,0,0,0,out,0,2,0,0,0,1,0,0
DR Sams ,MI,2022,11,10,3,38,15,out,5.42,36,105.55,0,0,2,1,3
DR Sams ,RCB,2021,2,2,1,6,3,not out,6,6,100,0,0,0,0,0
DS Kulkarni ,MI,2020,1,1,1,3,3,not out,0,2,150,0,0,0,0,0
DS Kulkarni ,MI,2021,1,1,1,0,0,not out,0,0,0,0,0,0,0,0
DS Rathi ,LSG,2025,11,2,1,1,1,out,1,3,33.33,0,0,0,0,0
DT Christian ,RCB,2021,9,7,1,14,9,out,2.33,24,58.33,0,0,1,1,0
DW Steyn ,RCB,2020,3,1,1,1,1,not out,0,2,50,0,0,0,0,0
E Lewis ,LSG,2022,6,5,2,73,55,not out,24.33,56,130.35,0,1,0,8,3
E Lewis ,RR,2021,5,5,0,151,58,out,30.2,93,162.36,0,1,0,18,7
EJG Morgan ,KKR,2020,14,14,4,418,68,not out,41.8,302,138.41,0,1,0,32,24
EJG Morgan ,KKR,2021,17,16,4,133,47,not out,11.08,139,95.68,0,0,4,8,6
F du Plessis ,CSK,2020,13,13,2,449,87,not out,40.81,319,140.75,0,4,1,42,14
F du Plessis ,CSK,2021,16,16,2,633,95,not out,45.21,458,138.2,0,6,2,60,23
F du Plessis ,DC,2025,7,6,0,168,62,out,28,131,128.24,0,2,0,15,7
F du Plessis ,RCB,2022,16,16,1,468,96,out,31.2,367,127.52,0,3,2,49,13
F du Plessis ,RCB,2023,14,14,1,730,84,out,56.15,475,153.68,0,8,0,60,36
F du Plessis ,RCB,2024,15,15,0,438,64,out,29.2,271,161.62,0,4,0,47,21
FA Allen ,MI,2022,1,1,0,8,8,out,8,7,114.28,0,0,0,1,0
FA Allen ,PBKS,2021,4,3,2,6,6,out,6,12,50,0,0,0,0,0
Fazalhaq Farooqi ,RR,2025,4,1,1,2,2,not out,0,2,100,0,0,0,0,0
G Coetzee ,GT,2025,2,1,0,12,12,out,12,6,200,0,0,0,1,1
G Coetzee ,MI,2024,10,5,1,14,8,out,3.5,22,63.63,0,0,1,0,1
GD Phillips ,RR,2021,3,3,1,26,14,not out,13,33,78.78,0,0,0,1,2
GD Phillips ,SRH,2023,5,5,0,39,25,out,7.8,22,177.27,0,0,1,2,4
GHS Garton ,RCB,2021,5,3,2,2,2,not out,2,4,50,0,0,1,0,0
GJ Maxwell ,PBKS,2020,13,11,4,108,32,out,15.42,106,101.88,0,0,1,9,0
GJ Maxwell ,PBKS,2025,7,6,0,48,30,out,8,49,97.95,0,0,1,5,1
GJ Maxwell ,RCB,2021,15,14,2,513,78,out,42.75,356,144.1,0,6,1,48,21
GJ Maxwell ,RCB,2022,13,13,2,301,55,out,27.36,178,169.1,0,1,1,31,15
GJ Maxwell ,RCB,2023,14,14,2,400,77,out,33.33,218,183.48,0,5,2,29,31
GJ Maxwell ,RCB,2024,10,9,0,52,28,out,5.77,43,120.93,0,0,4,6,2
Gulbadin Naib ,DC,2024,2,1,0,19,19,out,19,15,126.66,0,0,0,1,1
Gurkeerat Singh ,RCB,2020,8,5,5,71,21,not out,0,80,88.75,0,0,0,8,0
H Klaasen ,SRH,2023,12,11,2,448,104,out,49.77,253,177.07,1,2,0,32,25
H Klaasen ,SRH,2024,16,15,3,479,80,not out,39.91,280,171.07,0,4,0,19,38
H Klaasen ,SRH,2025,11,10,1,311,71,out,34.55,202,153.96,0,1,0,29,13
Harbhajan Singh ,KKR,2021,3,2,2,4,2,not out,0,4,100,0,0,0,0,0
Harpreet Brar ,PBKS,2021,7,5,5,64,25,not out,0,58,110.34,0,0,0,3,2
Harpreet Brar ,PBKS,2022,5,3,0,22,14,out,7.33,25,88,0,0,0,1,2
Harpreet Brar ,PBKS,2023,13,8,2,52,17,not out,8.66,41,126.82,0,0,1,5,2
Harpreet Brar ,PBKS,2024,13,7,5,75,29,out,37.5,54,138.88,0,0,0,8,2
Harpreet Singh ,PBKS,2023,3,3,0,76,41,out,25.33,59,128.81,0,0,0,8,3
Harpreet Singh ,PBKS,2024,2,2,0,27,14,out,13.5,34,79.41,0,0,0,2,0
Harshit Rana ,KKR,2025,12,6,3,23,10,not out,7.66,32,71.87,0,0,0,3,0
HC Brook ,SRH,2023,11,11,2,190,100,not out,21.11,154,123.37,1,0,3,23,4
HE van der Dussen ,RR,2022,3,3,1,22,12,not out,11,24,91.66,0,0,0,2,0
HH Pandya ,GT,2022,15,15,4,487,87,not out,44.27,371,131.26,0,4,0,49,12
HH Pandya ,GT,2023,16,15,4,346,66,out,31.45,253,136.75,0,2,0,26,15
HH Pandya ,MI,2020,14,13,5,281,60,not out,35.12,157,178.98,0,1,1,14,25
HH Pandya ,MI,2021,12,11,2,127,40,not out,14.11,112,113.39,0,0,1,11,5
HH Pandya ,MI,2024,14,13,1,216,46,out,18,151,143.04,0,0,1,17,11
HH Pandya ,MI,2025,11,8,2,158,48,not out,26.33,94,168.08,0,0,0,15,7
HR Shokeen ,MI,2022,5,3,1,43,25,out,21.5,48,89.58,0,0,0,5,0
HR Shokeen ,MI,2023,8,3,2,23,18,not out,23,17,135.29,0,0,0,4,0
HV Patel ,DC,2020,5,2,0,21,16,out,10.5,24,87.5,0,0,0,2,0
HV Patel ,PBKS,2024,14,4,1,13,12,out,4.33,19,68.42,0,0,2,1,1
HV Patel ,RCB,2021,15,8,4,59,31,out,14.75,46,128.26,0,0,1,6,2
HV Patel ,RCB,2022,15,8,3,43,11,out,8.6,39,110.25,0,0,1,4,2
HV Patel ,RCB,2023,14,2,0,6,6,out,3,6,100,0,0,1,0,1
HV Patel ,SRH,2025,10,4,2,21,12,not out,10.5,26,80.76,0,0,0,0,0
I Udana ,RCB,2020,10,4,1,15,10,not out,5,11,136.36,0,0,1,1,1
Imran Tahir ,CSK,2020,3,1,1,13,13,not out,0,10,130,0,0,0,2,0
Ishan Kishan ,MI,2020,14,13,4,516,99,out,57.33,354,145.76,0,4,1,36,30
Ishan Kishan ,MI,2021,10,10,1,241,84,out,26.77,180,133.88,0,2,0,21,10
Ishan Kishan ,MI,2022,14,14,1,418,81,not out,32.15,348,120.11,0,3,1,45,11
Ishan Kishan ,MI,2023,16,15,0,454,75,out,30.26,318,142.76,0,3,0,54,18
Ishan Kishan ,MI,2024,14,14,0,320,69,out,22.85,215,148.83,0,1,2,35,16
Ishan Kishan ,SRH,2025,11,10,2,196,106,not out,24.5,136,144.11,1,0,1,19,7
J Fraser0McGurk ,DC,2024,9,9,0,330,84,out,36.66,141,234.04,0,4,1,32,28
J Fraser0McGurk ,DC,2025,6,6,0,55,38,out,9.16,52,105.76,0,0,2,7,2
J Overton ,CSK,2025,3,2,2,15,11,not out,0,7,214.28,0,0,0,1,1
J Suchith ,SRH,2021,2,1,1,14,14,not out,0,6,233.33,0,0,0,2,1
J Yadav ,MI,2021,5,3,1,34,23,out,17,26,130.76,0,0,0,2,1
JA Richardson ,PBKS,2021,3,2,0,15,15,out,7.5,24,62.5,0,0,1,2,0
JC Archer ,MI,2023,5,2,2,4,3,not out,0,4,100,0,0,0,0,0
JC Archer ,RR,2020,14,10,4,113,27,not out,18.83,63,179.36,0,0,0,5,10
JC Archer ,RR,2025,12,7,1,63,30,out,10.5,50,126,0,0,2,3,4
JC Buttler ,GT,2025,11,11,4,500,97,not out,71.42,305,163.93,0,5,1,49,22
JC Buttler ,RR,2020,13,12,2,328,70,not out,32.8,227,144.49,0,2,0,27,16
JC Buttler ,RR,2021,7,7,0,254,124,out,36.28,166,153.01,1,0,0,27,13
JC Buttler ,RR,2022,17,17,2,863,116,out,57.53,579,149.05,4,4,0,83,45
JC Buttler ,RR,2023,14,14,0,392,95,out,28,282,139,0,4,5,42,14
JC Buttler ,RR,2024,11,11,2,359,107,not out,39.88,255,140.78,2,0,1,36,12
JD Unadkat ,LSG,2023,3,1,0,9,9,out,9,7,128.57,0,0,0,1,0
JD Unadkat ,MI,2022,5,5,2,59,19,not out,19.66,37,159.45,0,0,0,4,3
JD Unadkat ,RR,2020,7,1,0,9,9,out,9,13,69.23,0,0,0,0,0
JD Unadkat ,RR,2021,6,3,1,41,24,out,20.5,29,141.37,0,0,0,3,2
JD Unadkat ,SRH,2024,11,5,2,24,8,not out,8,26,92.3,0,0,0,2,1
JDS Neesham ,MI,2021,3,2,0,0,0,out,0,2,0,0,0,2,0,0
JDS Neesham ,PBKS,2020,5,3,1,19,10,not out,9.5,18,105.55,0,0,0,0,1
JDS Neesham ,RR,2022,2,2,0,31,17,out,15.5,27,114.81,0,0,0,3,0
JE Root ,RR,2023,3,1,0,10,10,out,10,15,66.66,0,0,0,1,0
JG Bethell ,RCB,2025,2,2,0,67,55,out,33.5,39,171.79,0,1,0,9,3
JJ Bumrah ,MI,2020,15,1,1,5,5,not out,0,3,166.66,0,0,0,0,0
JJ Bumrah ,MI,2021,14,7,5,16,5,not out,8,17,94.11,0,0,1,2,0
JJ Bumrah ,MI,2024,13,4,4,12,8,not out,0,12,100,0,0,0,1,0
JJ Bumrah ,MI,2025,8,1,1,0,0,not out,0,1,0,0,0,0,0,0
JJ Roy ,KKR,2023,8,8,0,285,61,out,35.62,188,151.59,0,2,0,36,12
JJ Roy ,SRH,2021,5,5,0,150,60,out,30,121,123.96,0,1,0,21,1
JL Pattinson ,MI,2020,10,2,1,15,11,out,15,13,115.38,0,0,0,2,0
JM Bairstow ,PBKS,2022,11,11,0,253,66,out,23,175,144.57,0,2,0,34,9
JM Bairstow ,PBKS,2024,11,11,1,298,108,not out,29.8,195,152.82,1,0,1,33,14
JM Bairstow ,SRH,2020,11,11,0,345,97,out,31.36,272,126.83,0,3,1,31,13
JM Bairstow ,SRH,2021,7,7,1,248,63,not out,41.33,175,141.71,0,2,0,20,15
JM Sharma ,PBKS,2022,12,10,2,234,44,out,29.25,143,163.63,0,0,0,22,12
JM Sharma ,PBKS,2023,14,14,1,309,49,not out,23.76,198,156.06,0,0,1,22,21
JM Sharma ,PBKS,2024,14,12,1,187,32,not out,17,142,131.69,0,0,1,9,12
JM Sharma ,RCB,2025,11,8,3,128,40,not out,25.6,90,142.22,0,0,0,13,7
JO Holder ,LSG,2022,12,8,2,58,16,out,9.66,44,131.81,0,0,0,2,6
JO Holder ,RR,2023,8,3,1,12,11,out,6,11,109.09,0,0,1,0,1
JO Holder ,SRH,2020,7,4,2,66,26,not out,33,53,124.52,0,0,0,5,3
JO Holder ,SRH,2021,8,7,1,85,47,not out,14.16,72,118.05,0,0,0,2,6
JP Behrendorff ,MI,2023,12,2,2,6,3,not out,0,9,66.66,0,0,0,0,0
JP Inglis ,PBKS,2025,7,6,2,92,30,out,23,66,139.39,0,0,0,8,5
JR Hazlewood ,RCB,2022,12,5,5,18,7,not out,0,26,69.23,0,0,0,1,0
JR Hazlewood ,RCB,2025,10,1,1,0,0,not out,0,1,0,0,0,0,0,0
JR Philippe ,RCB,2020,5,5,1,78,33,out,19.5,77,101.29,0,0,1,9,1
K Gowtham ,LSG,2023,7,7,3,61,23,out,15.25,37,164.86,0,0,0,2,5
K Gowtham ,PBKS,2020,2,2,1,42,22,not out,42,27,155.55,0,0,0,3,2
K Kartikeya ,MI,2023,8,1,0,6,6,out,6,7,85.71,0,0,0,1,0
K Kartikeya ,RR,2025,4,2,0,3,2,out,1.5,5,60,0,0,0,0,0
K Kushagra ,DC,2024,4,3,0,3,2,out,1,7,42.85,0,0,1,0,0
K Nitish Kumar Reddy ,SRH,2024,13,11,2,303,76,not out,33.66,212,142.92,0,2,0,15,21
K Nitish Kumar Reddy ,SRH,2025,10,9,2,173,32,out,24.71,144,120.13,0,0,1,15,4
K Rabada ,DC,2020,17,8,4,56,15,not out,14,49,114.28,0,0,1,4,2
K Rabada ,DC,2021,15,3,3,13,9,not out,0,6,216.66,0,0,0,2,0
K Rabada ,GT,2025,2,1,1,7,7,not out,0,5,140,0,0,0,0,1
K Rabada ,PBKS,2022,13,8,3,48,25,out,9.6,43,111.62,0,0,0,5,2
K Rabada ,PBKS,2024,11,3,2,20,11,not out,20,14,142.85,0,0,0,0,2
K Yadav ,RR,2021,1,1,1,0,0,not out,0,4,0,0,0,0,0,0
KA Jamieson ,RCB,2021,9,7,3,65,16,not out,16.25,55,118.18,0,0,0,5,3
KA Pollard ,MI,2020,16,12,7,268,60,not out,53.6,140,191.42,0,1,1,15,22
KA Pollard ,MI,2021,14,13,5,245,87,not out,30.62,165,148.48,0,1,0,16,16
KA Pollard ,MI,2022,11,11,1,144,25,out,14.4,134,107.46,0,0,1,6,9
Kartik Tyagi ,RR,2020,10,3,2,4,2,not out,4,6,66.66,0,0,0,0,0
Kartik Tyagi ,RR,2021,4,2,1,2,1,not out,2,4,50,0,0,0,0,0
Kartik Tyagi ,SRH,2022,2,2,0,7,7,out,3.5,6,116.66,0,0,1,1,0
KD Karthik ,KKR,2020,14,14,2,169,58,out,14.08,134,126.11,0,1,3,20,4
KD Karthik ,KKR,2021,17,15,5,223,40,out,22.3,170,131.17,0,0,1,22,7
KD Karthik ,RCB,2022,16,16,10,330,66,not out,55,180,183.33,0,1,1,27,22
KD Karthik ,RCB,2023,13,13,1,140,30,out,11.66,104,134.61,0,0,4,13,5
KD Karthik ,RCB,2024,15,13,4,326,83,out,36.22,174,187.35,0,2,1,27,22
KH Pandya ,LSG,2022,14,13,4,183,42,out,20.33,145,126.2,0,0,1,16,4
KH Pandya ,LSG,2023,15,14,4,188,49,not out,18.8,165,113.93,0,0,3,15,6
KH Pandya ,LSG,2024,14,12,8,133,43,not out,33.25,105,126.66,0,0,0,8,5
KH Pandya ,MI,2020,16,12,6,109,34,out,18.16,92,118.47,0,0,1,9,5
KH Pandya ,MI,2021,13,12,2,143,39,out,14.3,123,116.26,0,0,0,10,6
KH Pandya ,RCB,2025,11,5,1,97,73,not out,24.25,75,129.33,0,1,1,7,4
KK Ahmed ,CSK,2025,12,2,2,1,1,not out,0,2,50,0,0,0,0,0
KK Ahmed ,SRH,2020,7,1,0,0,0,out,0,2,0,0,0,1,0,0
KK Ahmed ,SRH,2021,7,1,0,1,1,out,1,2,50,0,0,0,0,0
KK Nair ,DC,2025,7,7,0,154,89,out,22,88,175,0,1,2,19,8
KK Nair ,PBKS,2020,4,3,1,16,15,not out,8,14,114.28,0,0,1,2,0
KK Nair ,RR,2022,3,2,0,16,13,out,8,18,88.88,0,0,0,1,0
KL Nagarkoti ,KKR,2020,10,6,3,22,8,not out,7.33,31,70.96,0,0,1,1,0
KL Nagarkoti ,KKR,2021,1,1,0,0,0,out,0,2,0,0,0,1,0,0
KL Rahul ,DC,2025,11,10,2,381,93,not out,47.62,268,142.16,0,3,0,30,16
KL Rahul ,LSG,2022,15,15,3,616,103,not out,51.33,455,135.38,2,4,3,45,30
KL Rahul ,LSG,2023,9,9,1,274,74,out,34.25,242,113.22,0,2,0,28,4
KL Rahul ,LSG,2024,14,14,0,520,82,out,37.14,382,136.12,0,4,0,45,19
KL Rahul ,PBKS,2020,14,14,2,670,132,not out,55.83,518,129.34,1,5,0,58,23
KL Rahul ,PBKS,2021,13,13,3,626,98,not out,62.6,451,138.8,0,6,0,48,30
KM Jadhav ,CSK,2020,8,5,2,62,26,out,20.66,66,93.93,0,0,0,7,0
KM Jadhav ,RCB,2023,2,1,1,12,12,not out,0,10,120,0,0,0,1,0
