Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill ,GT,2022,16,16,2,483,96,out,34.5,365,132.32,0,4,2,51,11
Shubman Gill ,GT,2023,17,17,2,890,129,out,59.33,564,157.8,3,4,1,85,33
Shubman Gill ,GT,2024,12,12,1,426,104,out,38.72,289,147.4,1,2,0,37,15
Shubman Gill ,GT,2025,11,11,1,508,90,out,50.8,333,152.55,0,5,0,51,16
Shubman Gill ,KKR,2020,14,14,1,440,70,not out,33.84,373,117.96,0,3,0,44,9
Shubman Gill ,KKR,2021,17,17,0,478,57,out,28.11,402,118.9,0,3,1,50,12
Sikandar Raza ,PBKS,2023,7,7,2,139,57,out,27.8,98,141.83,0,1,0,10,6
Sikandar Raza ,PBKS,2024,2,2,0,43,28,out,21.5,38,113.15,0,0,0,2,2
Simarjeet Singh ,CSK,2022,6,3,2,7,3,not out,7,8,87.5,0,0,0,0,0
Simarjeet Singh ,SRH,2025,4,3,1,3,3,not out,1.5,7,42.85,0,0,2,0,0
SK Raina ,CSK,2021,12,11,2,160,54,out,17.77,128,125,0,1,0,13,9
SK Rasheed ,CSK,2025,5,5,0,71,27,out,14.2,63,112.69,0,0,1,9,2
SM Curran ,CSK,2020,14,11,3,186,52,out,23.25,141,131.91,0,1,2,12,12
SM Curran ,CSK,2021,9,4,1,56,34,out,18.66,29,193.1,0,0,0,5,3
SM Curran ,CSK,2025,5,5,0,114,88,out,22.8,84,135.71,0,1,0,11,4
SM Curran ,PBKS,2023,14,13,3,276,55,out,27.6,203,135.96,0,1,0,20,13
SM Curran ,PBKS,2024,13,12,2,270,63,not out,27,219,123.28,0,2,1,24,6
SN Khan ,DC,2022,6,5,2,91,36,not out,30.33,67,135.82,0,0,0,9,2
SN Khan ,DC,2023,4,4,0,53,30,out,13.25,62,85.48,0,0,0,4,1
SN Khan ,PBKS,2020,5,3,1,33,14,not out,16.5,29,113.79,0,0,0,5,0
SN Khan ,PBKS,2021,2,2,0,0,0,out,0,4,0,0,0,2,0,0
SN Thakur ,CSK,2020,9,2,1,12,11,out,12,21,57.14,0,0,0,0,0
SN Thakur ,CSK,2021,16,4,2,5,3,not out,2.5,5,100,0,0,1,0,0
SN Thakur ,CSK,2024,9,3,2,21,17,out,21,17,123.52,0,0,0,2,1
SN Thakur ,DC,2022,14,10,2,120,29,not out,15,87,137.93,0,0,0,7,7
SN Thakur ,KKR,2023,11,10,2,113,68,out,14.12,70,161.42,0,1,2,13,4
SN Thakur ,LSG,2025,9,4,2,14,6,out,7,11,127.27,0,0,1,2,0
SO Hetmyer ,DC,2020,12,11,3,185,45,out,23.12,125,148,0,0,0,11,12
SO Hetmyer ,DC,2021,14,13,6,242,53,not out,34.57,144,168.05,0,1,0,19,12
SO Hetmyer ,RR,2022,15,15,8,314,59,not out,44.85,204,153.92,0,1,0,21,21
SO Hetmyer ,RR,2023,14,13,5,299,56,not out,37.37,197,151.77,0,1,0,12,23
SO Hetmyer ,RR,2024,12,9,4,113,27,not out,22.6,69,163.76,0,0,1,9,7
SO Hetmyer ,RR,2025,12,11,1,216,52,out,21.6,147,146.93,0,1,1,15,10
SP Goswami ,SRH,2020,2,2,0,0,0,out,0,4,0,0,0,2,0,0
SP Jackson ,KKR,2022,5,5,1,23,8,out,5.75,26,88.46,0,0,1,0,1
SP Narine ,KKR,2020,10,9,0,121,64,out,13.44,85,142.35,0,1,2,10,8
SP Narine ,KKR,2021,14,10,2,62,26,out,7.75,47,131.91,0,0,3,3,5
SP Narine ,KKR,2022,14,10,2,71,22,out,8.87,40,177.5,0,0,3,6,6
SP Narine ,KKR,2023,14,10,3,21,7,not out,3,25,84,0,0,3,2,1
SP Narine ,KKR,2024,15,14,0,488,109,out,34.85,270,180.74,1,3,1,50,33
SP Narine ,KKR,2025,11,11,1,215,44,out,21.5,128,167.96,0,0,1,22,16
SPD Smith ,DC,2021,8,7,1,152,39,out,25.33,135,112.59,0,0,0,13,2
SPD Smith ,RR,2020,14,14,2,311,69,out,25.91,237,131.22,0,3,0,32,9
SR Watson ,CSK,2020,11,11,1,299,83,not out,29.9,247,121.05,0,2,0,33,13
SS Cottrell ,PBKS,2020,6,1,0,0,0,out,0,2,0,0,0,1,0,0
SS Iyer ,DC,2020,17,17,2,519,88,not out,34.6,421,123.27,0,3,0,40,16
SS Iyer ,DC,2021,8,8,3,175,47,not out,35,171,102.33,0,0,0,7,5
SS Iyer ,KKR,2022,14,14,1,401,85,out,30.84,298,134.56,0,3,0,41,11
SS Iyer ,KKR,2024,15,14,5,351,58,not out,39,239,146.86,0,2,1,34,14
SS Iyer ,PBKS,2025,12,11,3,405,97,not out,50.62,224,180.8,0,4,1,27,27
SS Prabhudessai ,RCB,2022,5,5,0,67,34,out,13.4,59,113.55,0,0,0,7,2
SS Prabhudessai ,RCB,2023,5,4,0,35,19,out,8.75,29,120.68,0,0,1,1,2
SS Prabhudessai ,RCB,2024,1,1,0,24,24,out,24,18,133.33,0,0,0,3,0
SS Tiwary ,MI,2020,7,5,0,103,42,out,20.6,80,128.75,0,0,0,8,3
SS Tiwary ,MI,2021,5,4,2,115,50,not out,57.5,97,118.55,0,1,0,10,2
